rh.aparc.a2009s.area	rh_G&S_frontomargin_area	rh_G&S_occipital_inf_area	rh_G&S_paracentral_area	rh_G&S_subcentral_area	rh_G&S_transv_frontopol_area	rh_G&S_cingul-Ant_area	rh_G&S_cingul-Mid-Ant_area	rh_G&S_cingul-Mid-Post_area	rh_G_cingul-Post-dorsal_area	rh_G_cingul-Post-ventral_area	rh_G_cuneus_area	rh_G_front_inf-Opercular_area	rh_G_front_inf-Orbital_area	rh_G_front_inf-Triangul_area	rh_G_front_middle_area	rh_G_front_sup_area	rh_G_Ins_lg&S_cent_ins_area	rh_G_insular_short_area	rh_G_occipital_middle_area	rh_G_occipital_sup_area	rh_G_oc-temp_lat-fusifor_area	rh_G_oc-temp_med-Lingual_area	rh_G_oc-temp_med-Parahip_area	rh_G_orbital_area	rh_G_pariet_inf-Angular_area	rh_G_pariet_inf-Supramar_area	rh_G_parietal_sup_area	rh_G_postcentral_area	rh_G_precentral_area	rh_G_precuneus_area	rh_G_rectus_area	rh_G_subcallosal_area	rh_G_temp_sup-G_T_transv_area	rh_G_temp_sup-Lateral_area	rh_G_temp_sup-Plan_polar_area	rh_G_temp_sup-Plan_tempo_area	rh_G_temporal_inf_area	rh_G_temporal_middle_area	rh_Lat_Fis-ant-Horizont_area	rh_Lat_Fis-ant-Vertical_area	rh_Lat_Fis-post_area	rh_Pole_occipital_area	rh_Pole_temporal_area	rh_S_calcarine_area	rh_S_central_area	rh_S_cingul-Marginalis_area	rh_S_circular_insula_ant_area	rh_S_circular_insula_inf_area	rh_S_circular_insula_sup_area	rh_S_collat_transv_ant_area	rh_S_collat_transv_post_area	rh_S_front_inf_area	rh_S_front_middle_area	rh_S_front_sup_area	rh_S_interm_prim-Jensen_area	rh_S_intrapariet&P_trans_area	rh_S_oc_middle&Lunatus_area	rh_S_oc_sup&transversal_area	rh_S_occipital_ant_area	rh_S_oc-temp_lat_area	rh_S_oc-temp_med&Lingual_area	rh_S_orbital_lateral_area	rh_S_orbital_med-olfact_area	rh_S_orbital-H_Shaped_area	rh_S_parieto_occipital_area	rh_S_pericallosal_area	rh_S_postcentral_area	rh_S_precentral-inf-part_area	rh_S_precentral-sup-part_area	rh_S_suborbital_area	rh_S_subparietal_area	rh_S_temporal_inf_area	rh_S_temporal_sup_area	rh_S_temporal_transverse_area	rh_WhiteSurfArea_area	BrainSegVolNotVent	eTIV
sub-0033	594.0	895.0	1051.0	893.0	879.0	2024.0	1079.0	970.0	313.0	209.0	1390.0	842.0	199.0	396.0	2948.0	5225.0	452.0	490.0	1888.0	1037.0	1241.0	1863.0	1116.0	2026.0	1734.0	1751.0	1637.0	1452.0	2073.0	1486.0	582.0	367.0	227.0	1251.0	405.0	523.0	1719.0	2096.0	307.0	148.0	809.0	2161.0	1170.0	1392.0	2308.0	867.0	405.0	897.0	922.0	1054.0	430.0	975.0	1770.0	1967.0	359.0	2131.0	922.0	948.0	701.0	825.0	1380.0	274.0	568.0	1025.0	1347.0	738.0	1727.0	1125.0	1020.0	245.0	1051.0	724.0	4779.0	226.0	87017.5	1234151.0	1390204.431298
sub-0034	642.0	887.0	845.0	896.0	936.0	2229.0	987.0	1013.0	317.0	181.0	1351.0	952.0	225.0	753.0	2777.0	4178.0	566.0	452.0	1448.0	1010.0	1520.0	1938.0	912.0	2037.0	2151.0	1633.0	1703.0	1089.0	1441.0	1684.0	601.0	216.0	276.0	1257.0	742.0	614.0	1919.0	1965.0	257.0	153.0	881.0	2190.0	1269.0	1657.0	1752.0	935.0	380.0	829.0	818.0	670.0	266.0	1322.0	1865.0	1566.0	473.0	2300.0	740.0	1093.0	430.0	909.0	1536.0	367.0	563.0	1038.0	1512.0	1055.0	1650.0	1270.0	867.0	136.0	1105.0	1124.0	4547.0	188.0	86057.5	1192164.0	1548854.973346
sub-0035	656.0	899.0	811.0	1403.0	856.0	2262.0	1132.0	1102.0	404.0	211.0	1797.0	1248.0	298.0	578.0	2498.0	4923.0	352.0	508.0	2080.0	1435.0	998.0	2164.0	832.0	2173.0	1960.0	1808.0	1747.0	1281.0	1885.0	1853.0	647.0	139.0	397.0	1525.0	556.0	689.0	2032.0	2211.0	266.0	144.0	1025.0	2199.0	1431.0	1561.0	2025.0	765.0	429.0	835.0	999.0	562.0	392.0	1553.0	1439.0	2199.0	324.0	2585.0	755.0	1345.0	703.0	919.0	1486.0	358.0	477.0	1207.0	2424.0	1002.0	1873.0	1339.0	1098.0	239.0	884.0	1235.0	4434.0	263.0	93127.1	1178058.0	1285548.492311
sub-0036	870.0	913.0	990.0	854.0	1005.0	2298.0	1006.0	1100.0	337.0	158.0	1629.0	1115.0	230.0	598.0	3005.0	4595.0	373.0	538.0	1585.0	1151.0	1164.0	2005.0	888.0	2051.0	2614.0	2232.0	2240.0	1303.0	1639.0	1972.0	597.0	424.0	251.0	1252.0	670.0	532.0	2287.0	2330.0	351.0	190.0	886.0	2138.0	1317.0	1469.0	1824.0	939.0	554.0	777.0	771.0	989.0	385.0	1378.0	1845.0	2143.0	312.0	2726.0	667.0	997.0	628.0	875.0	1350.0	346.0	535.0	1206.0	1834.0	853.0	1832.0	1093.0	891.0	182.0	880.0	1260.0	4742.0	204.0	92172.0	1206564.0	1325186.698783
sub-0037	620.0	640.0	1010.0	986.0	683.0	1704.0	960.0	936.0	394.0	178.0	1412.0	872.0	191.0	765.0	2358.0	4504.0	389.0	355.0	1284.0	924.0	1187.0	2286.0	856.0	1878.0	2098.0	1451.0	1541.0	1220.0	1815.0	1453.0	566.0	311.0	281.0	1325.0	805.0	561.0	1602.0	1780.0	331.0	78.0	910.0	1915.0	1155.0	1582.0	2047.0	936.0	426.0	893.0	970.0	672.0	332.0	1313.0	1061.0	1837.0	258.0	1970.0	496.0	715.0	384.0	791.0	1131.0	331.0	621.0	994.0	1468.0	750.0	1751.0	1236.0	1121.0	232.0	722.0	783.0	4082.0	280.0	80757.1	1040608.0	1039161.90809
sub-0038	693.0	1162.0	890.0	1252.0	907.0	2263.0	964.0	1038.0	463.0	259.0	1694.0	911.0	289.0	556.0	2629.0	4127.0	426.0	474.0	1886.0	1263.0	1592.0	2469.0	969.0	2019.0	2114.0	1585.0	1571.0	1346.0	1728.0	1793.0	561.0	262.0	333.0	1391.0	793.0	691.0	1987.0	2054.0	373.0	276.0	1047.0	2501.0	1318.0	2165.0	2009.0	860.0	443.0	882.0	1197.0	999.0	449.0	1165.0	1408.0	1596.0	297.0	2727.0	1102.0	938.0	642.0	961.0	1391.0	258.0	529.0	988.0	2019.0	976.0	1538.0	1341.0	938.0	190.0	940.0	1051.0	4604.0	183.0	91702.8	1176616.0	1370328.370742
sub-0039	574.0	916.0	1028.0	873.0	651.0	2298.0	1104.0	1215.0	357.0	203.0	1403.0	1030.0	218.0	906.0	2862.0	4084.0	395.0	598.0	1746.0	862.0	1204.0	1988.0	922.0	1879.0	2029.0	1257.0	1053.0	845.0	2642.0	1336.0	629.0	251.0	247.0	1157.0	698.0	619.0	1718.0	2218.0	302.0	217.0	859.0	2416.0	1311.0	1728.0	1597.0	872.0	410.0	782.0	977.0	770.0	358.0	1468.0	1739.0	1748.0	225.0	1672.0	699.0	910.0	433.0	758.0	1240.0	325.0	585.0	970.0	1407.0	719.0	948.0	1638.0	1492.0	260.0	750.0	806.0	4968.0	181.0	84554.8	1126390.0	1282072.917977
sub-0040	732.0	1013.0	994.0	1283.0	1144.0	2822.0	1277.0	1163.0	420.0	284.0	2004.0	1061.0	223.0	742.0	3576.0	6747.0	700.0	569.0	1930.0	1467.0	1478.0	2432.0	1053.0	2072.0	3019.0	2150.0	2330.0	1724.0	2166.0	2493.0	743.0	504.0	369.0	1752.0	670.0	874.0	2603.0	2643.0	409.0	287.0	1027.0	2914.0	1654.0	2240.0	2419.0	1073.0	530.0	988.0	1134.0	1032.0	495.0	1756.0	1833.0	2450.0	459.0	2558.0	821.0	1175.0	488.0	807.0	1513.0	367.0	670.0	1186.0	2442.0	1104.0	2276.0	1314.0	1495.0	254.0	871.0	1231.0	5340.0	167.0	110001.0	1365708.0	1776357.318161
sub-0041	799.0	783.0	834.0	831.0	842.0	2040.0	1056.0	985.0	386.0	189.0	1406.0	1012.0	290.0	633.0	2638.0	4113.0	461.0	449.0	1541.0	984.0	1115.0	2043.0	719.0	2121.0	2540.0	2195.0	1475.0	1318.0	1894.0	1490.0	596.0	140.0	261.0	1635.0	636.0	623.0	1802.0	2339.0	230.0	189.0	964.0	2173.0	1207.0	1536.0	1909.0	870.0	415.0	813.0	1131.0	537.0	426.0	1302.0	1975.0	1761.0	402.0	2289.0	504.0	1107.0	539.0	695.0	1572.0	408.0	627.0	1147.0	1499.0	1004.0	1667.0	979.0	1049.0	244.0	817.0	992.0	4877.0	231.0	87301.4	1123563.0	1211554.573673
sub-0042	886.0	746.0	990.0	1052.0	926.0	2236.0	915.0	1140.0	285.0	216.0	1644.0	1100.0	307.0	627.0	3011.0	5404.0	599.0	542.0	1567.0	1204.0	1287.0	2365.0	1079.0	2219.0	2329.0	1619.0	1558.0	1307.0	1596.0	1757.0	673.0	497.0	232.0	1422.0	830.0	648.0	2138.0	2503.0	389.0	177.0	896.0	2241.0	1524.0	1435.0	1921.0	992.0	505.0	926.0	1072.0	998.0	258.0	1687.0	1969.0	2016.0	311.0	1840.0	837.0	956.0	665.0	799.0	1425.0	481.0	745.0	1073.0	1945.0	1049.0	1664.0	990.0	926.0	319.0	711.0	1523.0	4711.0	236.0	93668.5	1260747.0	1595125.765693
sub-0043	685.0	918.0	868.0	1130.0	813.0	2107.0	907.0	954.0	459.0	248.0	1913.0	857.0	317.0	734.0	3167.0	4960.0	555.0	514.0	1654.0	1323.0	1457.0	2145.0	1107.0	1862.0	1645.0	1670.0	1428.0	1474.0	1757.0	1616.0	588.0	161.0	279.0	1305.0	535.0	573.0	1814.0	2407.0	253.0	193.0	961.0	2941.0	1278.0	1594.0	2116.0	993.0	466.0	819.0	1100.0	846.0	281.0	1606.0	1684.0	2566.0	343.0	1915.0	876.0	1236.0	514.0	907.0	1393.0	348.0	744.0	1010.0	1642.0	974.0	1755.0	1330.0	1075.0	165.0	917.0	990.0	3515.0	219.0	90472.2	1207592.0	1573892.518748
sub-0044	889.0	1035.0	884.0	956.0	1062.0	2233.0	1071.0	1075.0	404.0	232.0	1682.0	987.0	262.0	553.0	2738.0	4896.0	432.0	412.0	1679.0	1156.0	1342.0	2116.0	726.0	2099.0	2025.0	1699.0	1326.0	1219.0	1590.0	1838.0	629.0	483.0	290.0	1629.0	844.0	587.0	1509.0	2396.0	199.0	230.0	917.0	2302.0	1193.0	1634.0	1865.0	978.0	443.0	746.0	881.0	502.0	347.0	1265.0	2255.0	1402.0	404.0	2267.0	573.0	1174.0	736.0	893.0	1587.0	384.0	522.0	1061.0	1773.0	1051.0	1643.0	1115.0	893.0	252.0	791.0	887.0	4740.0	221.0	89113.7	1263702.0	1447858.351082
sub-0045	862.0	1093.0	937.0	1385.0	1047.0	2648.0	1400.0	1405.0	585.0	302.0	1791.0	1139.0	267.0	724.0	3616.0	5847.0	517.0	895.0	1854.0	1453.0	1742.0	2131.0	700.0	2397.0	1927.0	2530.0	2171.0	1462.0	1953.0	1956.0	679.0	525.0	440.0	1530.0	648.0	764.0	1889.0	2320.0	398.0	220.0	1119.0	2438.0	1273.0	2300.0	2143.0	1039.0	502.0	951.0	1287.0	726.0	444.0	1787.0	1925.0	2516.0	591.0	3127.0	953.0	831.0	708.0	1020.0	1746.0	345.0	770.0	1248.0	2224.0	1651.0	2381.0	1480.0	1294.0	68.0	957.0	1245.0	4760.0	306.0	106305.0	1384451.0	1641357.40128
sub-0046	895.0	917.0	880.0	1163.0	871.0	2231.0	1099.0	1169.0	373.0	198.0	1536.0	993.0	292.0	400.0	3091.0	4874.0	504.0	438.0	1625.0	980.0	1348.0	2196.0	976.0	2345.0	2044.0	1879.0	1836.0	1164.0	1683.0	1773.0	681.0	214.0	252.0	1448.0	522.0	777.0	1802.0	2181.0	232.0	83.0	1002.0	1989.0	1316.0	1543.0	1917.0	1002.0	534.0	806.0	930.0	939.0	311.0	1393.0	1773.0	2101.0	211.0	2467.0	745.0	892.0	500.0	716.0	1286.0	307.0	611.0	1306.0	1968.0	1034.0	1665.0	1342.0	931.0	384.0	1032.0	1224.0	4261.0	215.0	90621.6	1196331.0	1302253.120518
sub-0047	640.0	994.0	848.0	1245.0	936.0	2547.0	1023.0	1277.0	609.0	326.0	1629.0	1117.0	345.0	851.0	3148.0	4539.0	571.0	379.0	1756.0	1195.0	1433.0	2253.0	688.0	1880.0	1883.0	2021.0	1837.0	1375.0	1525.0	1749.0	542.0	442.0	269.0	1369.0	713.0	601.0	1876.0	2352.0	301.0	189.0	1036.0	2346.0	1398.0	2163.0	1722.0	881.0	306.0	773.0	996.0	778.0	272.0	1621.0	1917.0	2114.0	342.0	2387.0	873.0	1207.0	550.0	922.0	1374.0	354.0	614.0	1099.0	1835.0	1304.0	1835.0	1225.0	732.0	304.0	883.0	1011.0	4500.0	194.0	93145.0	1131089.0	1352635.107834
sub-0048	703.0	701.0	830.0	805.0	860.0	1747.0	895.0	927.0	310.0	162.0	1340.0	894.0	269.0	693.0	2415.0	4091.0	384.0	376.0	1637.0	927.0	1148.0	1550.0	902.0	1658.0	1857.0	1579.0	1634.0	1271.0	1464.0	1576.0	594.0	185.0	245.0	1162.0	702.0	572.0	1594.0	1962.0	310.0	294.0	968.0	2000.0	1222.0	1155.0	1832.0	853.0	311.0	763.0	997.0	632.0	300.0	1492.0	1348.0	1539.0	479.0	2621.0	457.0	1031.0	634.0	656.0	1420.0	289.0	514.0	964.0	1435.0	849.0	2125.0	1151.0	695.0	311.0	918.0	1038.0	3646.0	166.0	80038.2	1065029.0	1275646.579865
sub-0049	658.0	877.0	809.0	963.0	737.0	1989.0	954.0	1054.0	312.0	186.0	1339.0	896.0	327.0	571.0	2465.0	4536.0	373.0	393.0	1446.0	887.0	1339.0	1485.0	908.0	1993.0	1801.0	1821.0	1803.0	1310.0	1771.0	1688.0	617.0	442.0	240.0	1257.0	663.0	726.0	1794.0	2134.0	234.0	83.0	982.0	2140.0	1143.0	1279.0	1933.0	720.0	374.0	746.0	870.0	757.0	289.0	1303.0	1457.0	1462.0	339.0	2015.0	578.0	884.0	639.0	659.0	1426.0	276.0	511.0	1097.0	1213.0	787.0	1773.0	1304.0	1257.0	354.0	763.0	1046.0	4549.0	248.0	83055.4	1063425.0	1241971.165177
sub-0050	630.0	797.0	829.0	772.0	750.0	1767.0	804.0	1020.0	336.0	158.0	1274.0	883.0	292.0	671.0	2377.0	3833.0	386.0	476.0	1202.0	868.0	920.0	1920.0	809.0	1526.0	1680.0	1499.0	1655.0	1044.0	1429.0	1629.0	508.0	167.0	182.0	1070.0	607.0	482.0	1734.0	1870.0	305.0	246.0	889.0	1756.0	1134.0	1327.0	1693.0	1011.0	341.0	799.0	916.0	790.0	249.0	1245.0	1153.0	1854.0	185.0	1969.0	410.0	833.0	431.0	677.0	1111.0	276.0	567.0	891.0	1350.0	779.0	1494.0	1101.0	861.0	266.0	727.0	932.0	3567.0	217.0	75208.6	1004192.0	1167348.605998
sub-0051	660.0	813.0	926.0	1264.0	813.0	2364.0	1196.0	1165.0	350.0	164.0	1639.0	853.0	235.0	409.0	3405.0	5106.0	340.0	366.0	1778.0	1138.0	1370.0	2199.0	1138.0	2066.0	1740.0	1859.0	2100.0	1243.0	1679.0	2179.0	584.0	149.0	249.0	1224.0	576.0	557.0	2124.0	2086.0	262.0	144.0	946.0	2421.0	1218.0	1464.0	1811.0	894.0	378.0	789.0	995.0	748.0	413.0	1248.0	1679.0	1981.0	347.0	2304.0	607.0	1088.0	497.0	1095.0	1650.0	307.0	612.0	1074.0	1701.0	731.0	1743.0	1294.0	766.0	299.0	1091.0	1150.0	4100.0	207.0	90156.5	1129476.0	1367177.983431
sub-0052	877.0	1153.0	1048.0	1335.0	1063.0	2732.0	1271.0	1254.0	476.0	216.0	1839.0	1333.0	318.0	1067.0	3438.0	5673.0	625.0	558.0	2028.0	1428.0	1521.0	2308.0	728.0	2246.0	2981.0	2076.0	2241.0	1623.0	1681.0	2349.0	674.0	451.0	325.0	1539.0	530.0	724.0	1748.0	2577.0	334.0	346.0	1178.0	2907.0	1277.0	1908.0	2382.0	930.0	424.0	1020.0	1240.0	717.0	514.0	1724.0	1810.0	2522.0	336.0	3471.0	1173.0	1357.0	712.0	891.0	2051.0	343.0	685.0	1373.0	2055.0	1276.0	2225.0	1367.0	849.0	304.0	1030.0	905.0	5824.0	306.0	107815.0	1393928.0	1612813.686328
sub-0053	770.0	897.0	1036.0	1042.0	854.0	1770.0	877.0	903.0	394.0	192.0	1693.0	1103.0	270.0	548.0	2477.0	4338.0	376.0	420.0	1496.0	1093.0	1134.0	1974.0	902.0	2124.0	2104.0	1884.0	1494.0	1353.0	1772.0	1525.0	604.0	148.0	307.0	1167.0	678.0	737.0	1884.0	2275.0	226.0	199.0	964.0	2340.0	1244.0	1752.0	2053.0	808.0	391.0	870.0	909.0	700.0	351.0	1476.0	1139.0	1779.0	474.0	2390.0	667.0	1004.0	490.0	794.0	1436.0	435.0	513.0	1014.0	1301.0	897.0	1951.0	1250.0	1050.0	280.0	871.0	1024.0	4328.0	191.0	86180.4	1085378.0	1448329.281742
sub-0054	519.0	837.0	916.0	980.0	725.0	1818.0	784.0	909.0	390.0	156.0	1143.0	1004.0	273.0	854.0	2021.0	3889.0	445.0	398.0	1458.0	817.0	1167.0	1450.0	775.0	1664.0	1568.0	1426.0	1662.0	1130.0	1418.0	1685.0	510.0	116.0	269.0	1109.0	683.0	427.0	1470.0	1846.0	319.0	257.0	849.0	2122.0	1055.0	1271.0	1765.0	854.0	415.0	798.0	917.0	526.0	315.0	1364.0	1046.0	1538.0	281.0	1938.0	653.0	946.0	536.0	756.0	1289.0	372.0	399.0	805.0	1269.0	862.0	1545.0	1219.0	737.0	204.0	1032.0	938.0	4350.0	152.0	76404.2	1051119.0	1474969.459443
sub-0055	781.0	974.0	960.0	955.0	794.0	2206.0	879.0	1032.0	343.0	179.0	1505.0	867.0	337.0	755.0	2562.0	5047.0	706.0	522.0	2090.0	1154.0	1526.0	2139.0	968.0	2429.0	2133.0	2002.0	1886.0	1630.0	1885.0	1895.0	626.0	126.0	237.0	1344.0	626.0	629.0	1980.0	2427.0	263.0	205.0	970.0	2726.0	1300.0	1486.0	2284.0	755.0	546.0	918.0	1042.0	878.0	342.0	1115.0	1518.0	1815.0	292.0	2533.0	821.0	1257.0	384.0	908.0	1480.0	375.0	597.0	1118.0	1529.0	807.0	2127.0	998.0	1318.0	200.0	1084.0	1128.0	4666.0	217.0	93136.1	1281831.0	1559112.265607
sub-0056	715.0	850.0	1034.0	1111.0	895.0	1974.0	866.0	920.0	363.0	208.0	1688.0	882.0	326.0	633.0	2647.0	4945.0	468.0	453.0	1938.0	997.0	1378.0	2150.0	1257.0	2222.0	2127.0	1929.0	1865.0	1389.0	1643.0	1651.0	704.0	210.0	247.0	1211.0	634.0	503.0	2425.0	2150.0	287.0	251.0	990.0	2364.0	1573.0	1982.0	1999.0	996.0	332.0	794.0	1007.0	1170.0	291.0	1416.0	1810.0	1513.0	342.0	3418.0	893.0	722.0	602.0	1027.0	1252.0	301.0	622.0	1286.0	1739.0	873.0	1656.0	1238.0	784.0	320.0	947.0	1216.0	4692.0	210.0	92526.7	1128463.0	1159536.339825
sub-0057	486.0	763.0	927.0	854.0	615.0	1792.0	807.0	796.0	289.0	128.0	1186.0	831.0	201.0	372.0	2031.0	3787.0	300.0	372.0	1408.0	912.0	1256.0	1584.0	738.0	1194.0	1902.0	1296.0	1200.0	1078.0	1291.0	1545.0	423.0	75.0	195.0	978.0	390.0	479.0	1531.0	1680.0	228.0	83.0	771.0	1793.0	1029.0	1181.0	1596.0	838.0	265.0	705.0	812.0	720.0	343.0	1103.0	1098.0	1325.0	258.0	1811.0	454.0	963.0	527.0	638.0	1254.0	250.0	401.0	689.0	1408.0	757.0	1561.0	996.0	650.0	82.0	781.0	894.0	3905.0	113.0	69977.4	920873.0	1012605.008482
sub-0058	887.0	881.0	1164.0	1057.0	1221.0	2459.0	1202.0	1243.0	542.0	317.0	1738.0	1170.0	353.0	784.0	3175.0	4989.0	657.0	453.0	1917.0	1209.0	1616.0	2759.0	750.0	2412.0	2260.0	1772.0	1952.0	1218.0	1860.0	1776.0	624.0	484.0	370.0	1523.0	704.0	735.0	2281.0	2199.0	328.0	310.0	1148.0	3177.0	1384.0	2002.0	2027.0	1168.0	470.0	977.0	1186.0	634.0	447.0	1635.0	2248.0	2484.0	351.0	2757.0	989.0	924.0	487.0	1031.0	1935.0	503.0	751.0	1244.0	1752.0	1266.0	1761.0	1172.0	1359.0	326.0	1249.0	987.0	5493.0	296.0	102973.0	1324301.0	1600616.506302
sub-0059	558.0	860.0	854.0	958.0	708.0	2231.0	1139.0	1006.0	415.0	197.0	1576.0	919.0	231.0	599.0	2707.0	4514.0	331.0	588.0	1359.0	957.0	1261.0	2128.0	715.0	1858.0	1846.0	1796.0	1685.0	1204.0	1502.0	2092.0	693.0	186.0	234.0	1200.0	565.0	645.0	1416.0	2018.0	279.0	247.0	953.0	2501.0	1204.0	1603.0	1777.0	846.0	357.0	740.0	913.0	566.0	379.0	1351.0	1838.0	1938.0	198.0	3027.0	706.0	856.0	459.0	838.0	1465.0	268.0	664.0	1021.0	1615.0	679.0	1561.0	1295.0	962.0	221.0	914.0	919.0	4581.0	184.0	85678.9	1142257.0	1501855.143357
sub-0060	784.0	965.0	768.0	1181.0	963.0	2478.0	1079.0	936.0	411.0	162.0	1445.0	834.0	348.0	503.0	2624.0	4852.0	355.0	566.0	2475.0	1086.0	1392.0	1619.0	1026.0	2176.0	2219.0	2112.0	1909.0	1526.0	1443.0	1944.0	667.0	343.0	216.0	1125.0	678.0	600.0	2274.0	2001.0	281.0	179.0	1008.0	2177.0	1331.0	1365.0	1743.0	844.0	477.0	741.0	752.0	1141.0	295.0	1617.0	1874.0	1595.0	335.0	2497.0	876.0	979.0	784.0	915.0	1468.0	443.0	538.0	1257.0	1952.0	1171.0	2198.0	1076.0	674.0	318.0	1026.0	1043.0	4312.0	264.0	91631.6	1205004.0	1505207.336789
sub-0061	792.0	874.0	1003.0	1087.0	765.0	2202.0	872.0	1036.0	359.0	185.0	1466.0	1023.0	261.0	570.0	3913.0	5378.0	596.0	427.0	1369.0	1142.0	1166.0	1981.0	945.0	2543.0	2491.0	1908.0	1797.0	1584.0	1471.0	1709.0	662.0	338.0	236.0	1225.0	596.0	487.0	1738.0	2076.0	302.0	146.0	909.0	1889.0	1228.0	1336.0	2088.0	1004.0	302.0	737.0	892.0	717.0	313.0	1665.0	2077.0	2201.0	312.0	2459.0	538.0	1266.0	437.0	863.0	1338.0	285.0	700.0	1413.0	1529.0	954.0	2195.0	1453.0	770.0	180.0	990.0	847.0	4964.0	152.0	91726.1	1181018.0	1369511.409073
sub-0062	482.0	669.0	946.0	883.0	616.0	1832.0	839.0	1010.0	383.0	178.0	1153.0	886.0	293.0	815.0	2181.0	4379.0	449.0	627.0	1262.0	865.0	1383.0	1555.0	730.0	1568.0	1552.0	1890.0	1465.0	1219.0	1477.0	1715.0	553.0	310.0	321.0	1311.0	459.0	508.0	1656.0	2173.0	241.0	165.0	990.0	1703.0	1207.0	1096.0	1733.0	825.0	343.0	894.0	1001.0	570.0	181.0	1263.0	1444.0	1639.0	240.0	2022.0	357.0	670.0	406.0	781.0	1466.0	276.0	543.0	861.0	1643.0	830.0	1618.0	967.0	822.0	179.0	870.0	1070.0	4391.0	208.0	78101.8	1084223.0	1272209.610922
sub-0063	670.0	949.0	756.0	902.0	780.0	2160.0	918.0	899.0	454.0	301.0	1661.0	910.0	229.0	630.0	3030.0	3525.0	445.0	424.0	1502.0	1038.0	1169.0	2290.0	795.0	1918.0	1858.0	1720.0	1594.0	1219.0	1470.0	1568.0	581.0	381.0	220.0	1326.0	609.0	548.0	1804.0	2227.0	323.0	168.0	850.0	2332.0	1236.0	1944.0	1794.0	737.0	365.0	845.0	1005.0	696.0	299.0	1721.0	1727.0	1163.0	353.0	2038.0	783.0	971.0	533.0	667.0	1111.0	460.0	663.0	1235.0	1547.0	1175.0	1628.0	1281.0	709.0	204.0	1214.0	1154.0	4564.0	218.0	85195.9	1086311.0	1170114.002443
sub-0064	804.0	675.0	767.0	795.0	799.0	1783.0	794.0	828.0	314.0	148.0	1430.0	825.0	335.0	514.0	2341.0	4241.0	316.0	348.0	1111.0	968.0	1176.0	1869.0	904.0	1774.0	1482.0	1581.0	1461.0	1115.0	1392.0	1680.0	591.0	94.0	281.0	1093.0	446.0	496.0	1901.0	1596.0	310.0	182.0	757.0	2034.0	1276.0	1726.0	1656.0	723.0	335.0	694.0	768.0	893.0	200.0	1252.0	1254.0	1994.0	405.0	2202.0	565.0	812.0	536.0	806.0	1182.0	331.0	409.0	1050.0	1232.0	937.0	1569.0	1017.0	858.0	186.0	991.0	1049.0	3396.0	181.0	76838.6	984512.0	1157736.089383
sub-0065	641.0	793.0	964.0	1156.0	865.0	2128.0	1155.0	1111.0	356.0	195.0	1306.0	1131.0	374.0	732.0	2945.0	4348.0	524.0	589.0	1485.0	897.0	1199.0	1435.0	802.0	2024.0	2002.0	2296.0	1638.0	1341.0	1876.0	1760.0	537.0	257.0	348.0	1323.0	557.0	823.0	1892.0	2081.0	364.0	301.0	1094.0	1970.0	1122.0	1356.0	2153.0	947.0	486.0	834.0	1120.0	687.0	187.0	1504.0	1636.0	1741.0	317.0	2472.0	628.0	811.0	456.0	771.0	1206.0	466.0	633.0	946.0	1476.0	843.0	1712.0	1422.0	1089.0	240.0	833.0	950.0	4582.0	249.0	87492.8	1072697.0	1274150.700682
sub-0066	537.0	882.0	987.0	998.0	776.0	2192.0	1138.0	1019.0	389.0	216.0	1410.0	846.0	393.0	976.0	2770.0	5499.0	431.0	401.0	1590.0	893.0	1144.0	2021.0	1109.0	1849.0	2066.0	1794.0	1616.0	1187.0	1882.0	1724.0	597.0	137.0	245.0	1143.0	570.0	641.0	1897.0	1806.0	260.0	136.0	971.0	2477.0	1174.0	1525.0	1927.0	926.0	334.0	683.0	986.0	915.0	343.0	1481.0	1500.0	2018.0	432.0	2421.0	868.0	907.0	507.0	668.0	1274.0	319.0	418.0	937.0	1621.0	759.0	1679.0	1081.0	1207.0	250.0	984.0	1028.0	3215.0	234.0	86237.8	1223530.0	1314873.090574
sub-0067	685.0	893.0	884.0	913.0	976.0	2050.0	844.0	938.0	419.0	240.0	1710.0	905.0	339.0	508.0	2568.0	4980.0	400.0	517.0	1376.0	1151.0	1177.0	2071.0	851.0	2079.0	1922.0	1705.0	1486.0	1669.0	1697.0	1734.0	637.0	158.0	264.0	1331.0	872.0	583.0	1989.0	2057.0	252.0	179.0	845.0	2138.0	1214.0	1884.0	2174.0	857.0	443.0	738.0	994.0	886.0	413.0	1129.0	1614.0	1993.0	159.0	2035.0	732.0	1100.0	506.0	721.0	1183.0	314.0	617.0	1125.0	2025.0	816.0	1770.0	1235.0	806.0	244.0	835.0	1126.0	4715.0	240.0	87638.2	1108653.0	1454330.520659
