Measure:mean	wm-lh-bankssts	wm-lh-caudalanteriorcingulate	wm-lh-caudalmiddlefrontal	wm-lh-cuneus	wm-lh-entorhinal	wm-lh-fusiform	wm-lh-inferiorparietal	wm-lh-inferiortemporal	wm-lh-isthmuscingulate	wm-lh-lateraloccipital	wm-lh-lateralorbitofrontal	wm-lh-lingual	wm-lh-medialorbitofrontal	wm-lh-middletemporal	wm-lh-parahippocampal	wm-lh-paracentral	wm-lh-parsopercularis	wm-lh-parsorbitalis	wm-lh-parstriangularis	wm-lh-pericalcarine	wm-lh-postcentral	wm-lh-posteriorcingulate	wm-lh-precentral	wm-lh-precuneus	wm-lh-rostralanteriorcingulate	wm-lh-rostralmiddlefrontal	wm-lh-superiorfrontal	wm-lh-superiorparietal	wm-lh-superiortemporal	wm-lh-supramarginal	wm-lh-frontalpole	wm-lh-temporalpole	wm-lh-transversetemporal	wm-lh-insula	wm-rh-bankssts	wm-rh-caudalanteriorcingulate	wm-rh-caudalmiddlefrontal	wm-rh-cuneus	wm-rh-entorhinal	wm-rh-fusiform	wm-rh-inferiorparietal	wm-rh-inferiortemporal	wm-rh-isthmuscingulate	wm-rh-lateraloccipital	wm-rh-lateralorbitofrontal	wm-rh-lingual	wm-rh-medialorbitofrontal	wm-rh-middletemporal	wm-rh-parahippocampal	wm-rh-paracentral	wm-rh-parsopercularis	wm-rh-parsorbitalis	wm-rh-parstriangularis	wm-rh-pericalcarine	wm-rh-postcentral	wm-rh-posteriorcingulate	wm-rh-precentral	wm-rh-precuneus	wm-rh-rostralanteriorcingulate	wm-rh-rostralmiddlefrontal	wm-rh-superiorfrontal	wm-rh-superiorparietal	wm-rh-superiortemporal	wm-rh-supramarginal	wm-rh-frontalpole	wm-rh-temporalpole	wm-rh-transversetemporal	wm-rh-insula	Left-UnsegmentedWhiteMatter	Right-UnsegmentedWhiteMatter
sub-0035	96.3233	107.0567	94.6194	93.3195	82.568	90.651	97.1556	89.4456	104.8405	89.6474	94.2197	89.0922	94.9768	87.9032	87.9555	92.6892	95.9071	87.5165	92.9689	87.6468	90.0595	102.5168	92.8053	100.5446	100.3083	95.5864	92.6188	97.3093	95.1164	96.2969	84.9962	76.413	98.0173	95.96	98.1797	103.2268	94.6149	94.5181	77.5062	90.9738	95.1386	84.2194	104.5736	89.2441	95.2299	90.962	97.8629	86.8606	89.0025	94.6792	94.7513	84.5465	92.998	88.203	89.641	102.2872	92.0595	100.8616	101.2461	94.0028	92.7837	94.695	89.9546	95.0738	84.5308	77.2694	94.6996	94.3082	102.9094	102.7726
sub-0036	97.3144	102.6314	97.6207	90.085	82.168	91.433	99.1264	90.8533	102.0932	93.1862	96.2548	86.9475	94.696	92.1531	90.2123	96.8151	96.3351	87.8015	95.6121	86.7608	94.2132	101.7799	95.3586	97.7224	99.0435	96.6819	95.8883	98.3797	95.1715	99.4154	91.0163	79.0397	96.8037	91.5502	98.1794	103.4814	94.8195	88.3091	84.7728	89.7116	95.9813	87.9181	101.6542	90.5562	95.0354	85.2673	92.2137	90.0802	89.3711	96.9372	96.7438	89.7224	94.9211	85.2866	92.9461	101.2265	93.7645	97.1141	100.9818	95.8163	94.9137	96.7512	91.9925	97.7549	87.4712	79.7559	96.5841	92.7727	100.2266	99.7342
sub-0037	96.763	107.0508	97.6948	94.7231	79.3578	91.6892	97.3724	89.6731	103.4467	93.8542	95.7495	91.6939	95.6206	90.2444	89.0838	96.5367	97.5416	90.2166	96.2591	90.8576	95.1258	103.311	96.5149	99.8297	102.4863	97.4002	95.4147	98.1223	95.1106	98.2778	91.5433	80.5943	97.9632	94.6059	98.6635	103.6803	93.5957	93.3581	80.152	91.3775	95.2126	89.521	102.8512	93.6402	96.5401	91.0062	100.6858	92.227	88.2947	96.7208	97.0404	87.8582	95.2078	89.9938	92.967	103.4458	94.6581	98.9135	102.8393	96.2199	93.856	95.99	93.3853	97.8477	92.7357	78.0899	96.5161	94.1382	102.0668	100.9093
sub-0038	97.2506	101.5274	97.5639	93.8253	78.8553	90.0265	97.0467	89.4606	99.8263	91.3742	91.291	87.8616	90.9528	90.5156	86.0816	97.9963	97.7705	84.3494	95.3188	91.7648	93.8948	100.2793	96.6621	98.6922	98.0175	94.7214	95.3878	96.747	93.7596	98.7038	84.2997	78.1512	93.1871	93.0461	95.1721	100.3011	94.6403	92.0045	78.4252	87.9776	93.8118	87.4437	99.8324	91.2534	95.9839	88.2609	94.8459	87.222	82.9234	96.1813	95.4966	88.9245	94.3018	90.2548	91.1676	97.4794	93.8891	97.2153	101.228	94.0218	94.3145	95.424	88.2012	96.2038	87.8122	74.5076	93.9326	91.783	99.9236	99.5043
sub-0039	100.5164	103.937	97.3826	94.1744	81.1253	93.1133	98.7232	90.1647	102.375	92.9458	95.3305	90.2712	92.979	91.758	88.8556	96.3777	98.9439	91.0938	98.2893	93.2017	93.7159	103.0394	96.5953	99.7751	100.7602	98.6411	96.1459	97.3443	95.216	98.8306	88.5021	80.0698	99.8137	96.3744	99.9812	103.1807	95.8229	95.9756	81.8122	91.8832	95.9892	87.1982	102.4353	92.389	98.0107	91.465	98.9612	90.911	89.4695	94.9879	97.7062	90.4954	96.7313	94.6457	93.5319	101.0639	93.9717	99.5179	103.9309	96.0841	95.5113	96.2546	93.7722	98.0462	87.4014	80.2019	98.8144	93.6532	102.2407	101.9038
sub-0040	98.5115	103.0311	96.0525	90.7835	81.223	91.5754	97.0131	90.5497	99.519	92.3971	94.0794	85.4163	94.7062	91.5372	90.8482	96.2913	96.1188	86.7468	94.0453	85.3944	93.0396	100.071	94.8164	98.0	98.3479	96.1786	94.4567	97.7575	95.2714	99.1612	84.5765	77.2588	98.9476	93.5366	98.3399	101.0526	95.6823	91.8901	80.9129	91.8779	96.357	87.4547	100.1269	92.3946	95.8048	87.9578	95.3957	86.7393	88.5885	96.6475	94.346	86.0284	93.0235	90.323	92.2105	99.6597	94.4546	97.3796	100.8081	94.7998	94.2675	96.4417	90.9204	97.7606	85.6554	75.9735	97.9008	91.5637	100.3643	99.5987
sub-0041	96.6653	106.1046	98.0687	92.4769	81.5916	92.0888	98.8551	90.9785	101.9285	93.7138	97.617	90.2052	98.7036	90.2081	87.7913	96.8552	96.2084	85.3103	97.7608	91.481	94.5436	102.4654	95.9868	99.3273	101.7468	97.1907	95.3749	98.1937	94.2445	99.5652	86.9117	80.02	95.163	93.7712	97.1549	104.0528	94.8154	91.0592	79.1111	90.8727	96.7058	87.2125	101.1362	91.0482	96.3324	88.9903	98.6385	87.8702	89.8701	97.0354	94.0161	86.8022	92.723	86.3565	92.3959	101.3565	94.5156	98.3597	104.8706	95.643	94.7615	95.5669	91.5549	97.8026	91.3665	78.6292	93.0819	90.8725	101.3187	100.3471
sub-0042	96.9705	102.0695	97.2309	87.0139	81.093	91.4198	98.6496	91.2675	101.1743	93.2368	94.6363	86.5414	92.1826	90.9885	88.6912	96.328	99.0104	90.8072	97.7169	82.9803	94.7379	101.3614	96.4874	97.1061	98.0417	96.9511	93.9742	97.6562	95.9074	99.3264	91.1828	77.9945	97.8687	93.5624	97.8311	101.326	94.421	90.412	80.3472	90.6049	97.2836	88.785	101.1117	92.9912	97.2114	87.3036	96.1894	90.3864	90.1287	95.729	95.2994	91.0768	94.9067	84.0873	91.3222	100.6445	93.4093	97.5261	98.6473	95.9932	94.4911	97.2118	92.8699	96.7279	93.5646	79.9943	97.7036	92.1295	100.1133	99.4651
sub-0043	98.2533	103.9117	96.2832	94.1994	81.9825	91.0537	100.5121	91.708	100.8753	93.5023	93.9223	87.7778	97.1003	92.2736	89.2214	94.7889	97.1675	90.0153	96.1222	90.1169	93.9071	100.6172	94.8481	97.4622	97.4189	97.041	94.5498	98.7468	95.3386	99.7052	88.2585	77.3343	92.5273	92.7631	94.5663	103.5181	95.4035	93.5903	78.3299	88.7994	97.1072	87.0319	101.8418	93.5518	96.5605	86.406	97.0914	88.1452	88.6682	96.9806	97.3763	88.1851	95.5866	85.9702	93.4018	101.1981	94.5623	98.0061	103.1941	97.208	94.0949	97.5466	90.6032	98.2555	94.6291	78.9215	93.3072	91.6807	100.8144	100.7511
sub-0044	96.0008	102.6414	98.0246	91.5692	80.4003	90.3851	97.2685	89.2405	100.0175	93.051	94.0391	88.9672	91.6859	91.114	87.5805	95.6795	97.6829	86.4485	96.7845	89.2141	92.9935	100.6126	96.0045	97.5688	99.5381	95.9377	94.5416	98.4208	92.2217	98.3317	89.4409	71.026	97.515	92.2448	97.9211	99.0789	96.2252	91.4266	74.4741	87.5774	96.6782	88.8511	99.0931	92.2722	95.743	87.0995	94.4447	88.9282	85.0182	96.5404	96.3988	88.6351	95.989	88.2896	93.0491	98.985	94.4345	97.0628	100.2241	94.4533	93.3706	96.8539	89.8843	99.1391	85.079	74.4564	96.1769	88.6245	101.4123	100.0097
sub-0045	96.3953	101.7095	96.8739	94.4035	82.7705	90.3266	97.1293	91.6636	100.0386	92.4673	94.527	88.5463	93.0053	91.4475	89.72	95.9175	97.798	90.7568	96.0627	91.8267	95.6285	99.1836	95.9614	96.0186	98.1428	97.1974	93.7135	98.0226	96.3786	99.5467	93.1059	77.5564	95.7207	92.0406	98.5755	100.094	94.1155	96.1327	79.7527	88.7385	96.242	87.8533	99.6603	93.7179	91.6096	89.3267	93.1648	89.1086	89.8235	95.0713	95.9631	87.4619	95.595	90.8199	93.6733	98.9227	94.4007	97.6523	95.9756	94.5093	93.3384	97.2195	93.0997	98.6232	87.5537	77.8478	95.7034	91.2301	100.1692	99.6238
sub-0046	95.5232	105.2823	96.9871	93.8877	82.4481	91.9941	95.868	88.8874	106.1618	92.6363	93.0323	89.4605	93.2157	86.9853	91.8031	94.1452	97.2038	84.8771	95.0133	89.2911	91.3339	103.0895	94.0523	101.9108	98.5876	97.4176	94.6225	97.4882	92.487	95.7662	87.1003	76.555	100.7395	94.9864	98.3519	105.2673	94.7033	93.5868	80.0351	90.1791	94.368	87.5459	106.7158	90.4893	94.7199	91.2209	97.3678	86.8901	89.9793	94.9638	95.1838	82.8547	93.8569	89.6204	89.525	102.6806	92.0585	98.8914	102.2671	93.8136	94.1165	93.2154	89.7396	94.9532	87.9359	75.5046	96.7173	92.1898	101.8812	101.4592
sub-0047	99.6298	104.2009	97.7862	98.0697	82.7353	91.7488	98.3987	90.7278	100.5191	97.066	95.0609	91.5737	97.1605	90.8795	90.6041	94.6403	95.0589	90.9187	97.579	95.5292	94.0228	99.9354	95.9354	98.3398	102.8618	96.5531	95.6296	97.9212	94.1963	99.0781	91.2863	73.6726	96.2947	93.0796	95.756	102.9387	94.3574	95.3305	76.4403	88.0464	95.462	85.653	99.9004	93.3319	94.1161	89.2533	99.3896	85.1545	88.1572	94.4417	95.9648	84.8524	94.6617	92.0169	91.284	99.8565	92.8008	96.9693	102.143	96.3965	94.8703	94.6947	88.5607	96.2401	90.8305	71.7705	92.6647	93.1642	101.7578	100.5518
sub-0048	97.235	102.7485	98.2635	93.1629	79.9703	90.8564	98.0502	90.2213	102.082	96.7408	94.7249	86.8238	95.2486	89.6878	83.8749	97.9663	98.9151	86.6833	96.2189	89.2763	94.8036	100.9656	96.8617	98.7835	100.9471	96.8713	95.7739	97.8484	94.9886	98.29	86.7761	77.3341	96.6781	92.1768	98.7677	102.3231	95.7246	93.8896	78.0767	89.7189	97.4163	88.2548	101.1983	95.6211	94.9522	87.4425	95.4433	88.5204	84.7573	97.3412	95.3057	84.6959	94.1572	90.3587	93.3751	99.8708	95.0299	98.1784	104.7518	95.2216	94.8601	97.9749	91.5901	97.4613	87.0421	75.7904	97.5164	91.9372	100.219	100.188
sub-0049	98.0064	101.7397	96.2534	93.2185	81.0826	91.3725	96.0666	87.4998	101.9157	91.3021	94.2989	89.4057	90.0976	89.4066	88.4689	91.7548	95.5647	85.7247	96.8492	90.7739	90.2192	100.9065	94.7198	97.9343	102.7383	96.2007	93.6286	95.8001	93.0134	97.6904	81.2801	75.5009	96.6085	93.5784	98.3275	102.1733	94.5739	92.5296	82.8628	91.1179	93.0769	87.769	103.8646	92.6396	94.487	87.4819	94.5017	87.9775	89.6822	92.4693	93.676	88.4414	94.1893	85.3302	89.8573	101.4211	91.9523	98.8752	103.454	93.7886	93.4055	94.4106	90.6932	95.4535	79.5333	76.0539	95.7689	92.3041	102.0393	101.4904
sub-0050	100.765	104.8755	97.3248	95.4719	80.9215	93.5242	98.7272	90.7857	103.7104	92.46	94.9581	90.9729	94.2191	90.3325	91.2271	98.2645	99.1374	89.3541	95.0805	91.7822	95.4786	103.5517	97.4311	100.0339	100.3198	95.7663	94.8994	97.3353	96.1616	100.1457	88.5871	75.5341	98.9984	94.444	97.9158	102.9812	94.9706	95.0724	81.8622	90.756	94.6911	86.4684	104.5645	93.3308	97.9504	90.406	99.4178	89.7498	89.111	97.6269	97.8654	90.4766	96.6199	90.8828	93.0577	102.1679	95.469	98.6522	102.4397	96.8377	95.5473	94.6579	92.3306	97.8674	89.702	72.5486	97.703	92.0987	101.9069	101.7775
sub-0051	98.0281	103.7934	97.8896	92.2448	79.8418	90.4686	97.7195	89.6932	101.9921	92.3003	93.8865	90.8717	95.8333	89.3315	88.3374	95.9142	98.1278	86.1085	95.2328	91.6119	92.844	101.5283	95.3908	99.4613	100.2902	96.1712	95.8654	97.2935	94.4552	98.6468	84.9488	78.1365	96.6398	94.6468	98.0625	103.7289	96.2321	93.9739	80.6765	88.3929	97.1061	85.9955	102.5245	93.4627	94.1526	88.2268	94.5218	88.5376	87.075	96.9337	97.2955	83.7404	92.8732	88.2825	92.1521	101.3585	93.8554	98.7097	102.9866	94.6724	94.6702	95.7146	91.4246	97.9913	85.1496	75.712	94.7924	91.3513	102.7348	101.4983
sub-0052	97.725	101.6769	97.4452	93.2617	80.801	91.598	98.1171	90.404	102.2303	94.6956	94.8317	89.9568	91.1346	87.614	92.7004	97.2615	97.5637	89.1892	97.2845	87.0159	94.8512	100.4644	96.9868	99.5992	100.6598	97.295	96.2559	99.0975	95.1183	98.39	90.6292	76.1138	98.788	94.9318	93.0185	100.1495	94.9487	92.1115	78.9649	90.1938	96.8755	88.8532	100.7187	93.251	93.5294	88.1122	94.5776	87.3575	89.0636	97.4115	96.0215	89.2172	93.0402	88.0946	93.3193	99.8946	94.623	98.3392	97.6916	95.8388	94.2438	97.4651	91.6593	98.2481	88.7626	78.6909	96.2058	92.5467	101.8042	100.4211
sub-0053	95.3078	100.8007	96.9446	95.0437	79.9203	90.0368	100.1068	88.8104	99.5315	95.2921	93.5054	86.9078	89.903	87.5433	86.86	97.5759	93.5912	85.1884	96.0246	91.1865	92.6036	98.5047	95.6273	99.7092	98.1486	95.206	94.4935	99.2518	92.0615	98.3008	87.4764	78.1564	92.4478	92.8941	96.6491	99.063	98.0814	91.7921	77.5495	90.2225	97.2952	88.189	101.403	92.1478	95.3271	86.4559	96.8914	88.0571	86.7546	97.2809	95.2499	86.5624	96.2173	88.6175	94.1827	98.7007	95.7665	98.7834	99.3262	94.7469	93.6312	97.817	92.2122	98.7142	93.6782	75.9025	94.4211	92.2293	99.7653	99.4226
sub-0054	97.4831	101.6131	96.9334	93.5988	80.0346	91.6247	100.3298	91.005	98.3673	93.8492	95.0705	89.233	96.2165	89.0211	87.2656	94.8221	95.753	90.5029	95.5596	88.7956	93.122	99.9266	94.8743	98.1281	100.2105	97.6411	94.9639	98.9082	93.8079	98.5532	85.0351	77.4523	94.6917	90.759	95.5121	101.2126	95.9206	93.296	78.9984	89.705	96.3935	88.0393	98.5658	91.5752	95.8225	88.569	96.951	86.2803	85.5797	95.2419	94.5234	90.2605	92.2866	88.3557	91.4618	99.3756	93.7198	97.535	96.9612	96.1825	93.8937	98.1595	89.276	97.1569	84.7864	76.5658	92.018	89.6235	99.0792	98.7159
sub-0055	99.2429	101.0103	97.1087	92.1208	83.9829	90.7896	97.9311	90.6392	100.879	91.1196	95.1141	85.5752	93.795	91.6898	88.6881	93.4329	98.5854	88.8522	95.4927	85.0118	92.7793	100.5703	96.4532	99.066	95.0271	96.4722	94.1981	97.0551	95.1259	99.5492	87.2264	81.7619	99.0467	95.304	98.721	99.8465	94.78	90.6184	80.3519	89.2642	95.0056	89.6876	102.3524	88.6204	93.4251	84.7086	96.0853	89.4518	85.5698	95.393	94.9307	85.8795	92.1291	84.9587	91.0428	101.7858	93.8819	99.6304	98.9873	94.3877	93.5078	96.9047	91.7066	98.4501	86.827	79.5203	97.087	91.9917	100.6858	99.8649
sub-0056	95.2053	101.3183	97.4174	99.4366	75.9151	90.667	97.3107	86.6062	102.587	93.9687	92.6422	91.0749	93.4101	89.2971	87.8957	96.953	94.9451	83.2445	94.6853	96.1402	90.6659	101.0694	94.3522	99.1123	100.1369	96.2634	94.6726	97.278	94.0305	96.2896	93.6569	68.513	93.8989	92.1082	98.2727	100.6567	95.7623	98.276	74.4652	88.3103	94.5331	85.1667	101.6596	92.6442	94.6214	90.5352	93.8384	88.7009	88.0883	97.157	96.6141	86.8697	94.8222	94.0541	90.4752	99.5394	94.2889	98.4949	102.7507	95.6152	94.1908	94.9273	91.3659	96.089	90.0698	72.577	98.3369	92.2845	100.6655	100.462
sub-0057	94.5496	104.7022	98.0353	93.768	75.3992	91.9961	99.1795	90.9307	103.5946	92.7739	97.0787	90.7938	97.9239	89.0631	87.3556	95.5051	95.5158	84.1652	95.373	90.3037	90.5436	101.2631	94.0771	99.3851	100.8132	95.4054	95.6441	97.553	93.0856	97.214	87.8369	75.508	96.496	92.3025	100.207	101.4063	95.4859	93.5024	76.2127	91.7398	94.5779	87.6375	102.7555	91.4279	97.4865	88.5536	96.0573	90.7024	87.6145	97.0953	94.0956	82.9907	91.9851	89.312	89.664	100.332	93.5757	98.1309	105.226	93.8884	94.2326	96.0907	90.4149	95.3666	85.3855	74.589	97.3681	91.8242	101.3454	100.4738
sub-0058	98.2994	102.2112	97.024	92.0134	80.8829	91.0971	97.909	90.8868	100.1206	93.7447	93.4473	86.2358	93.0509	92.8083	89.1541	94.5977	97.1651	86.0736	94.7893	89.5111	94.5265	100.5629	95.9312	97.7748	100.4046	97.3866	95.1804	98.0896	95.0126	98.8667	87.8309	79.9213	93.8763	92.9255	98.9483	99.9947	94.7089	94.8493	76.0903	90.8638	97.1333	86.9174	100.5642	92.6301	94.584	88.3821	95.8898	90.9181	88.5073	94.0823	95.369	86.9227	96.2933	87.6706	93.4453	98.6378	94.413	97.7368	100.1326	95.893	94.8461	95.8319	92.6486	97.4041	90.4114	74.6288	92.0566	91.6134	100.5641	100.0334
sub-0059	97.8489	98.5731	97.4231	90.2806	78.9348	90.9693	97.3895	89.6949	101.8098	89.628	93.9744	86.8991	94.2833	92.2704	86.1755	93.3654	97.9931	84.6628	96.5534	87.1104	92.7247	101.0578	93.9765	97.8766	100.1082	96.4931	94.1039	96.551	94.4858	97.3409	86.877	77.1145	95.0294	93.4507	99.2573	103.193	94.917	90.1519	76.0753	90.5855	96.157	89.4212	100.9294	93.3047	93.9751	86.0666	92.9257	88.7072	87.4968	92.6935	96.5349	87.839	94.6238	87.1386	89.3611	99.1243	92.6272	97.6924	101.4385	96.3675	93.3916	94.6193	91.5577	95.6292	85.3771	75.8098	95.5062	91.1346	100.9242	99.9694
sub-0060	98.302	101.2539	98.113	94.0297	80.7871	92.0428	98.5549	91.2812	99.9181	95.6593	91.7233	88.9811	91.1405	92.576	89.0223	95.5957	96.7527	89.7219	98.0135	91.0371	93.3339	99.9567	96.2341	98.6103	97.5686	95.8642	95.5684	96.92	96.642	98.577	86.2481	74.4152	96.1778	94.0111	98.1469	99.8112	96.7441	94.22	80.542	90.2041	95.7914	86.6974	101.3163	91.713	92.9345	89.1005	92.5513	89.7551	88.3475	95.7411	96.1289	85.9832	93.2741	91.7881	92.7837	99.5934	94.9581	97.7315	95.513	95.2296	94.7654	96.4869	92.3142	98.2083	86.5812	78.0092	96.75	90.6672	101.4666	100.6282
sub-0061	100.7983	101.8121	97.8671	89.538	83.5688	91.1081	98.7746	89.9229	99.095	93.726	93.6576	86.4895	93.6661	93.402	85.2949	95.9167	97.64	84.6149	96.5093	86.7955	93.8722	99.2523	96.4497	96.5929	100.6124	96.1411	95.5003	97.0053	95.4478	100.077	84.9367	77.6922	101.1491	93.3873	98.8177	99.0067	96.6991	91.6172	78.6086	89.2354	96.2793	89.0896	100.154	92.4228	93.9745	85.9	96.8658	90.8336	87.2493	96.3967	95.8347	85.1868	96.2767	87.3813	93.0072	98.8371	95.8096	97.1393	99.9902	94.9389	95.7387	96.5785	92.4353	99.053	88.0193	75.2035	98.1767	91.4363	100.0674	100.289
sub-0062	99.0149	102.2821	96.8318	96.283	83.3246	91.4336	99.1311	91.5576	102.1523	96.4449	97.1841	88.4688	97.8314	94.1406	87.698	96.3661	98.5301	90.5113	98.7716	90.9276	92.9293	99.5338	96.2998	99.5749	100.3903	97.818	94.5382	99.4134	97.3488	98.3062	90.3694	77.3704	97.6511	93.2634	99.3186	101.9552	95.654	96.7645	79.6507	90.9594	95.5174	87.8458	102.6317	96.1709	94.8019	92.3004	96.8876	90.5078	89.4054	95.7687	95.365	88.4468	94.5722	93.7454	92.7481	99.5516	95.1822	98.498	101.409	95.6678	95.329	97.3979	92.6775	96.8321	91.3569	75.7774	96.9349	92.1851	100.7951	100.1104
sub-0063	96.1227	103.484	97.6089	92.1719	77.7041	89.9575	93.5847	87.1741	105.8553	91.381	93.7223	89.0615	90.226	85.8753	88.9359	98.2942	94.0084	83.5659	93.0792	91.8382	91.436	105.0431	94.8187	99.1602	101.2676	95.0005	94.5624	96.3976	90.3797	95.8586	85.7473	69.0893	96.3352	92.8524	99.1683	102.9319	97.3607	93.0369	75.1011	90.1858	92.4812	86.562	105.8242	90.5326	95.415	91.2641	95.7982	86.0955	86.8255	96.1271	95.3518	87.8455	92.9521	91.7588	92.4672	102.748	94.2271	99.6372	102.2054	94.7049	94.7755	95.4583	89.7242	96.4774	86.0972	74.2003	98.8247	92.1611	103.1803	103.3022
sub-0064	98.0072	105.989	95.9522	94.3587	79.0742	92.2666	94.8437	88.1376	105.8081	89.5248	94.3931	89.9205	92.6728	87.8692	89.2924	91.0198	96.6528	84.3341	95.2081	92.8119	88.9203	102.2464	92.106	99.667	104.4529	95.7274	92.4318	93.4832	94.4339	94.3869	83.2074	79.7668	97.6699	96.8803	100.6657	102.1334	91.5704	91.253	77.8443	90.0844	91.8209	84.9548	106.5696	88.2071	94.7916	92.5156	97.6932	86.8123	89.1558	92.4803	94.1939	83.9937	91.3859	91.6556	87.4604	103.745	90.6285	99.1137	103.0545	93.9783	90.3892	91.5936	89.514	94.2983	84.4244	74.2206	97.4957	95.1043	103.5078	102.9925
sub-0065	94.983	102.546	97.3956	88.9367	79.1344	91.3628	97.1198	89.8518	101.9131	91.0191	92.9621	89.0266	91.7776	89.0008	86.2412	95.6628	94.6944	82.419	93.5173	87.0387	92.3781	100.3526	94.9847	98.6036	101.1507	94.8704	94.4334	97.2232	93.5077	97.525	83.4861	75.4209	97.8199	91.2597	96.5385	102.5938	94.4184	89.8952	79.0625	91.1247	96.6548	87.1138	100.9869	91.7395	93.6055	89.1521	97.8788	88.0471	87.3616	95.2948	94.0295	84.0163	92.7725	87.5938	91.562	99.2737	93.823	96.3445	103.873	94.0413	92.9176	94.6609	90.4772	95.8066	85.2684	76.5286	94.998	91.5759	100.1425	100.0435
sub-0066	96.1593	99.8204	95.439	94.3061	80.7185	89.5041	98.0133	86.5636	101.9377	91.7845	91.9107	87.4888	91.9779	89.8252	87.1513	95.2339	96.5916	86.2334	95.2293	87.5198	92.5178	99.4525	94.932	98.1407	94.1989	96.4637	94.0679	97.5182	95.2348	97.513	85.4214	79.8477	96.0575	94.1443	96.9255	101.5694	93.0874	93.606	74.999	87.6247	94.4374	86.5495	102.8497	93.6552	92.97	86.863	91.7118	88.3351	84.9393	96.547	94.5494	85.232	92.0653	89.1348	89.4402	101.1034	92.1388	98.7931	100.258	94.3096	92.992	95.5466	90.6878	94.7843	84.0581	76.472	94.5984	90.3863	100.3495	99.6705
sub-0067	98.3087	101.0219	95.5352	95.0397	78.6675	90.4868	98.4573	90.9163	99.889	94.47	95.4332	88.729	93.0381	90.794	87.6098	95.9544	98.7728	89.0939	98.8839	92.961	93.5111	100.1549	95.6652	97.5374	97.5857	98.3174	95.5428	98.9513	94.6486	99.6016	89.5511	75.1732	96.5863	94.3178	99.0215	99.8358	95.8948	94.6742	78.4502	90.7716	96.3464	88.6543	100.5387	94.135	96.9328	89.0194	95.5346	88.9797	88.2864	96.4088	94.8618	84.8715	94.3431	91.8065	91.3649	99.7098	93.3171	98.6113	103.6729	94.929	95.5022	97.8614	89.5769	96.7531	89.4921	73.5106	95.3516	92.3611	101.5079	101.1194
sub-0068	97.7204	101.5217	97.6386	94.0408	83.6257	91.5954	98.683	89.7513	101.3347	92.3733	95.5481	88.6065	93.3391	89.1652	89.3661	95.134	96.935	87.111	95.3152	90.7368	92.7146	101.1748	95.3531	99.0022	99.9216	96.4961	95.1502	98.13	95.2143	98.1694	86.1116	80.7372	96.0352	94.3907	97.7157	101.1202	95.504	94.4724	81.25	91.1283	96.1233	85.7685	100.8685	91.6412	94.9078	90.9961	97.5384	89.1844	89.2159	95.4695	95.2712	89.6146	92.7102	90.775	90.8077	100.4004	93.7635	99.2618	100.263	96.1314	94.1908	98.1134	90.3405	96.8422	86.3271	81.1068	95.0443	91.8022	100.8616	100.307
sub-0069	96.357	105.2709	98.4048	97.1294	83.4076	93.6607	98.062	89.8474	102.4462	95.4217	94.3849	90.6521	95.1826	89.9056	89.956	96.9244	97.1655	87.7096	94.1941	91.2317	94.4476	102.25	97.0663	99.1918	97.4312	97.1473	96.2066	99.2435	93.63	99.3148	84.5274	78.4941	95.0825	93.3938	99.3923	103.7059	95.9627	95.738	81.1667	92.3642	96.3228	87.8384	103.0567	91.9726	93.8036	92.4594	96.8087	92.2835	91.0626	97.0683	97.0266	85.5601	94.0533	93.5218	94.1075	101.3482	95.826	99.0289	99.9957	95.9907	96.033	96.5098	92.3462	99.0986	87.6123	75.7104	96.1142	91.6191	101.9979	101.5706
sub-0070	98.7179	102.522	97.5427	96.3389	84.2444	91.5798	98.2278	89.7135	101.0712	92.286	94.6208	86.8663	96.923	90.339	90.787	95.5138	98.218	84.4286	97.5675	91.6866	92.6034	99.6367	95.9692	98.507	98.5432	96.6413	94.2978	97.6335	93.9594	98.1214	89.1873	79.9454	98.0684	93.7274	99.8666	101.414	94.7587	96.3039	83.1394	91.9691	97.68	85.5346	100.9907	92.4226	95.727	89.7457	96.3739	90.0771	90.1264	95.6917	94.4418	85.7936	93.0116	92.9304	92.744	99.3712	94.6732	98.6821	100.9514	96.5212	95.938	96.6483	90.8291	99.0179	88.4972	78.1933	98.0774	91.82	101.2451	101.5873
sub-0071	98.2499	103.5896	97.373	94.6085	80.553	88.9207	99.2178	92.385	99.1634	93.2434	95.5154	88.7705	96.8434	92.0441	87.9057	94.6901	97.8101	87.9569	96.5787	90.65	95.5212	99.9529	96.2385	97.501	99.9067	98.0017	95.6356	98.1297	95.7384	99.8603	86.363	80.5668	99.0832	93.0766	100.1724	102.7796	96.1642	93.6344	78.3443	89.659	98.0022	91.1634	100.7105	92.9241	97.1746	88.4751	96.9054	91.2227	87.7792	95.3421	96.7418	89.8095	95.5996	85.9442	93.5149	99.692	94.9187	97.7961	100.4942	96.7492	94.7825	97.6693	94.6849	98.157	87.534	81.6042	96.9147	92.6838	99.6869	99.7039
