rh.aparc.area	rh_bankssts_area	rh_caudalanteriorcingulate_area	rh_caudalmiddlefrontal_area	rh_cuneus_area	rh_entorhinal_area	rh_fusiform_area	rh_inferiorparietal_area	rh_inferiortemporal_area	rh_isthmuscingulate_area	rh_lateraloccipital_area	rh_lateralorbitofrontal_area	rh_lingual_area	rh_medialorbitofrontal_area	rh_middletemporal_area	rh_parahippocampal_area	rh_paracentral_area	rh_parsopercularis_area	rh_parsorbitalis_area	rh_parstriangularis_area	rh_pericalcarine_area	rh_postcentral_area	rh_posteriorcingulate_area	rh_precentral_area	rh_precuneus_area	rh_rostralanteriorcingulate_area	rh_rostralmiddlefrontal_area	rh_superiorfrontal_area	rh_superiorparietal_area	rh_superiortemporal_area	rh_supramarginal_area	rh_frontalpole_area	rh_temporalpole_area	rh_transversetemporal_area	rh_insula_area	rh_WhiteSurfArea_area	BrainSegVolNotVent	eTIV
sub-0071	1211.0	657.0	1979.0	1804.0	342.0	3192.0	5843.0	3277.0	980.0	5795.0	2700.0	3492.0	2117.0	3997.0	643.0	1535.0	1432.0	921.0	1693.0	1557.0	4547.0	1228.0	4610.0	4055.0	722.0	6053.0	7046.0	5788.0	4097.0	4171.0	277.0	408.0	398.0	2612.0	91166.3	1249893.0	1634089.751352
sub-0072	1065.0	619.0	1980.0	1496.0	422.0	3067.0	5222.0	3496.0	892.0	4118.0	3054.0	2471.0	2064.0	3994.0	617.0	1482.0	1325.0	902.0	1371.0	1298.0	3991.0	988.0	4582.0	4572.0	543.0	6408.0	7119.0	5815.0	3846.0	3780.0	321.0	425.0	328.0	2057.0	85721.6	1157016.0	1303487.747039
sub-0073	859.0	550.0	2492.0	1718.0	439.0	2522.0	4297.0	3193.0	787.0	4488.0	2647.0	3029.0	1986.0	3143.0	635.0	1461.0	1105.0	820.0	1417.0	1579.0	3612.0	1045.0	4950.0	3465.0	509.0	6050.0	6704.0	4876.0	3521.0	3052.0	312.0	420.0	378.0	2194.0	80244.1	1058891.0	1187048.694322
sub-0074	1311.0	1533.0	3197.0	1833.0	621.0	3881.0	8366.0	4375.0	997.0	6014.0	3799.0	3447.0	2577.0	5247.0	884.0	2028.0	1671.0	1231.0	1987.0	1560.0	5468.0	1892.0	5762.0	5942.0	1060.0	9745.0	8974.0	7041.0	4762.0	5376.0	413.0	607.0	412.0	3463.0	117463.0	1500430.0	1961809.725767
sub-0075	957.0	925.0	1927.0	1874.0	514.0	3567.0	6201.0	4031.0	1146.0	6010.0	2758.0	3218.0	2397.0	4093.0	846.0	1661.0	1361.0	916.0	1515.0	1709.0	4078.0	1401.0	4862.0	4427.0	775.0	6654.0	8169.0	6351.0	4228.0	4249.0	387.0	433.0	354.0	2897.0	96887.4	1318890.0	1699569.476078
sub-0076	1320.0	953.0	2943.0	1855.0	567.0	4050.0	6889.0	4314.0	1069.0	5903.0	3039.0	3868.0	2280.0	4486.0	651.0	1778.0	1767.0	951.0	1847.0	1848.0	4091.0	1583.0	5417.0	5290.0	827.0	7600.0	8348.0	7089.0	4672.0	5252.0	350.0	629.0	362.0	3052.0	106899.0	1389071.0	1624560.177194
sub-0077	815.0	456.0	2181.0	1726.0	310.0	2791.0	5225.0	2851.0	1066.0	4140.0	2557.0	3012.0	1787.0	3064.0	673.0	1381.0	1440.0	687.0	1617.0	1690.0	3630.0	1064.0	3932.0	3703.0	448.0	4715.0	7200.0	4729.0	3422.0	3369.0	239.0	521.0	375.0	2537.0	79326.1	1031018.0	1438180.560507
sub-0078	1050.0	791.0	2254.0	1775.0	483.0	2682.0	5652.0	3428.0	1007.0	5479.0	2619.0	3126.0	2077.0	3643.0	603.0	1574.0	1644.0	917.0	1867.0	1593.0	3618.0	1222.0	4992.0	4195.0	611.0	7115.0	7742.0	5619.0	3986.0	3762.0	406.0	497.0	368.0	2458.0	90770.0	1163738.0	1405179.745512
sub-0079	838.0	836.0	2602.0	2440.0	353.0	3248.0	5300.0	3389.0	1023.0	6091.0	3125.0	3981.0	2265.0	3467.0	688.0	1493.0	1767.0	1059.0	2030.0	2403.0	4024.0	1515.0	5069.0	4469.0	810.0	7846.0	8511.0	5962.0	4680.0	5136.0	314.0	576.0	446.0	2651.0	100343.0	1237550.0	1670680.937755
sub-0080	978.0	771.0	1699.0	1611.0	496.0	3524.0	6225.0	3515.0	814.0	4973.0	2633.0	2917.0	2252.0	4060.0	641.0	1479.0	1156.0	938.0	1526.0	1320.0	3726.0	1176.0	4379.0	3981.0	685.0	6562.0	7046.0	5407.0	3780.0	3824.0	360.0	539.0	351.0	2211.0	87555.3	1152858.0	1245058.25468
sub-0081	1222.0	878.0	2036.0	2026.0	672.0	4173.0	6698.0	4262.0	1072.0	6587.0	3199.0	4308.0	2626.0	5276.0	664.0	1933.0	2029.0	963.0	2045.0	1977.0	5038.0	1302.0	6326.0	5003.0	744.0	7550.0	9042.0	6027.0	4766.0	4408.0	379.0	489.0	423.0	3334.0	109457.0	1429029.0	1813905.93453
sub-0082	972.0	784.0	1960.0	1573.0	502.0	2882.0	5245.0	3252.0	1017.0	4577.0	3015.0	2868.0	2036.0	3451.0	658.0	1886.0	1460.0	921.0	1657.0	1546.0	4263.0	1412.0	4755.0	4058.0	694.0	6928.0	7541.0	5897.0	3350.0	3792.0	303.0	498.0	261.0	2208.0	88213.7	1204055.0	1664552.018743
sub-0083	1122.0	748.0	2532.0	1669.0	424.0	3061.0	6621.0	3575.0	1115.0	5310.0	3303.0	3368.0	2315.0	4030.0	668.0	1279.0	1543.0	1023.0	2160.0	1404.0	4376.0	1529.0	4647.0	4160.0	823.0	6974.0	7522.0	6329.0	3869.0	4309.0	330.0	449.0	349.0	2357.0	95289.9	1263837.0	1642311.48061
sub-0084	981.0	588.0	2171.0	1938.0	449.0	3196.0	5515.0	3191.0	851.0	5415.0	3007.0	3602.0	2389.0	3430.0	622.0	1789.0	1697.0	963.0	1693.0	1950.0	3852.0	1096.0	4842.0	4337.0	684.0	6926.0	8247.0	6030.0	4051.0	3788.0	333.0	434.0	381.0	2405.0	92841.6	1251650.0	1375169.673746
sub-0085	724.0	604.0	1880.0	1447.0	289.0	2594.0	4012.0	2744.0	802.0	4510.0	2413.0	3087.0	1669.0	3006.0	570.0	1177.0	1503.0	826.0	1685.0	1504.0	2954.0	948.0	3862.0	3097.0	531.0	5042.0	5331.0	4044.0	3271.0	2638.0	309.0	386.0	288.0	2150.0	71892.1	962921.0	1025878.102196
sub-0086	949.0	902.0	2909.0	1663.0	599.0	3620.0	6497.0	3005.0	1006.0	5497.0	3191.0	3145.0	2314.0	3483.0	779.0	1467.0	1593.0	1107.0	1870.0	1258.0	4216.0	1335.0	5297.0	3997.0	733.0	6262.0	8275.0	5669.0	4287.0	4595.0	320.0	408.0	412.0	2579.0	95235.0	1277219.0	1557559.838422
sub-0087	962.0	896.0	2150.0	1579.0	458.0	3447.0	4913.0	3649.0	809.0	5407.0	2917.0	2731.0	2181.0	3540.0	652.0	1454.0	1271.0	896.0	1643.0	1605.0	3506.0	1246.0	4586.0	4424.0	656.0	5912.0	6959.0	4961.0	3461.0	4001.0	286.0	533.0	336.0	2317.0	86340.7	1135006.0	1199212.396541
sub-0088	1205.0	800.0	2919.0	1993.0	582.0	3898.0	6123.0	4025.0	966.0	6005.0	3547.0	2993.0	2339.0	4693.0	577.0	1827.0	1423.0	1071.0	1637.0	1660.0	4739.0	1325.0	5756.0	5421.0	784.0	7441.0	9963.0	6371.0	5291.0	4059.0	421.0	617.0	461.0	3176.0	106108.0	1367947.0	1749974.361296
sub-0089	914.0	757.0	2496.0	1725.0	415.0	3084.0	5401.0	3568.0	932.0	5047.0	2989.0	3572.0	2209.0	3794.0	561.0	1409.0	1434.0	924.0	1623.0	1823.0	3922.0	1235.0	4446.0	4004.0	767.0	6727.0	7770.0	5549.0	3787.0	3775.0	337.0	449.0	361.0	2371.0	90170.7	1109753.0	1266847.45001
sub-0090	987.0	627.0	2424.0	1401.0	415.0	3109.0	4926.0	3401.0	1032.0	4656.0	3003.0	2827.0	1975.0	4030.0	578.0	1420.0	1257.0	862.0	1472.0	1150.0	4392.0	1111.0	5199.0	3899.0	578.0	5617.0	7085.0	5062.0	3757.0	3930.0	289.0	472.0	349.0	2310.0	85428.2	1083879.0	1379263.516306
sub-0091	926.0	675.0	2334.0	2070.0	380.0	3360.0	5580.0	4247.0	1003.0	4789.0	3169.0	3507.0	2194.0	4108.0	628.0	1843.0	1614.0	1067.0	1964.0	1920.0	4302.0	1409.0	5134.0	4415.0	722.0	6903.0	8402.0	6101.0	4173.0	4313.0	321.0	412.0	383.0	2889.0	97258.4	1197099.0	1582574.563044
sub-0092	929.0	718.0	2037.0	1753.0	287.0	3471.0	6195.0	3409.0	834.0	5978.0	2992.0	3438.0	2306.0	4146.0	745.0	1733.0	1496.0	832.0	1765.0	1650.0	4175.0	1283.0	4728.0	4600.0	887.0	7250.0	8279.0	5599.0	4435.0	4272.0	348.0	399.0	392.0	2954.0	96315.1	1297126.0	1766651.713107
sub-0093	1018.0	860.0	2094.0	1717.0	342.0	2939.0	4955.0	3322.0	960.0	4835.0	2699.0	3345.0	2097.0	3646.0	620.0	1266.0	1463.0	763.0	1654.0	1696.0	3395.0	1287.0	4318.0	4646.0	675.0	6578.0	5929.0	5929.0	3824.0	3389.0	382.0	503.0	349.0	2378.0	85793.7	1087119.0	1460791.342004
sub-0094	870.0	766.0	1985.0	1631.0	305.0	2539.0	6110.0	2862.0	842.0	4718.0	2856.0	3589.0	1829.0	3615.0	673.0	1462.0	1163.0	873.0	1502.0	1582.0	3752.0	1346.0	4274.0	3782.0	753.0	6615.0	6426.0	5940.0	3359.0	3203.0	311.0	422.0	299.0	2533.0	84778.4	1090472.0	1225095.466245
sub-0095	1019.0	624.0	2677.0	1835.0	403.0	3081.0	5646.0	3196.0	928.0	6027.0	2780.0	3289.0	2084.0	3633.0	603.0	1467.0	1447.0	786.0	1482.0	1564.0	3967.0	1176.0	4735.0	4172.0	692.0	6220.0	7657.0	5802.0	3715.0	3610.0	319.0	468.0	301.0	2231.0	89632.7	1176761.0	1393838.718019
sub-0096	899.0	781.0	1868.0	1325.0	391.0	2643.0	5076.0	3316.0	1001.0	4358.0	2610.0	2711.0	2049.0	3741.0	521.0	1302.0	1272.0	887.0	1344.0	1216.0	3732.0	1429.0	4617.0	3717.0	607.0	6006.0	6169.0	5055.0	3823.0	3672.0	324.0	354.0	313.0	2319.0	81435.1	1103258.0	1267541.963561
sub-0097	773.0	539.0	2144.0	1579.0	339.0	2891.0	5198.0	3097.0	876.0	5276.0	2538.0	2755.0	2017.0	3343.0	595.0	1368.0	1206.0	937.0	1485.0	1463.0	4066.0	1150.0	4874.0	4018.0	428.0	5946.0	7249.0	5590.0	3414.0	3637.0	276.0	360.0	326.0	2240.0	83988.3	1105184.0	1291641.31448
sub-0098	914.0	925.0	2565.0	1763.0	767.0	4592.0	5566.0	4399.0	1053.0	6002.0	3600.0	3313.0	2782.0	3865.0	850.0	1677.0	1837.0	1103.0	1760.0	1505.0	4267.0	1567.0	5480.0	4546.0	821.0	7363.0	8007.0	5510.0	4150.0	4409.0	362.0	692.0	399.0	2487.0	100898.0	1324428.0	1767706.388905
sub-0099	1033.0	710.0	2583.0	2351.0	489.0	3042.0	5500.0	3765.0	1277.0	7912.0	3330.0	4344.0	2269.0	3960.0	726.0	1569.0	1516.0	932.0	1474.0	2529.0	4786.0	1449.0	5704.0	4632.0	795.0	7191.0	7800.0	5574.0	3983.0	4042.0	449.0	585.0	360.0	2719.0	101375.0	1340357.0	1787979.018134
sub-0100	1079.0	1049.0	2661.0	1710.0	438.0	3273.0	6534.0	3917.0	979.0	5058.0	3681.0	3154.0	2304.0	4211.0	630.0	1912.0	1398.0	998.0	1448.0	1468.0	4699.0	1468.0	5634.0	4631.0	845.0	6837.0	9447.0	6610.0	4138.0	4568.0	372.0	558.0	356.0	2602.0	100538.0	1326269.0	1662847.267452
sub-0101	1146.0	705.0	2164.0	1517.0	418.0	3494.0	6143.0	3182.0	837.0	4396.0	3413.0	3185.0	2045.0	3534.0	678.0	1504.0	1363.0	832.0	1427.0	1687.0	3938.0	1231.0	4321.0	3955.0	625.0	5666.0	6084.0	5465.0	3654.0	3853.0	313.0	411.0	312.0	2161.0	85640.8	1170530.0	1448074.530533
sub-0102	1495.0	826.0	2344.0	1859.0	374.0	3687.0	7962.0	5018.0	1040.0	5767.0	3662.0	3357.0	2538.0	5596.0	643.0	1949.0	1656.0	1023.0	1959.0	1619.0	4607.0	1549.0	4802.0	5437.0	949.0	7280.0	8225.0	6795.0	4987.0	5391.0	401.0	470.0	424.0	3072.0	108747.0	1366345.0	1743921.110547
sub-0103	931.0	872.0	2020.0	1591.0	356.0	2910.0	5284.0	2787.0	829.0	5111.0	3110.0	2913.0	1891.0	3765.0	656.0	1674.0	1216.0	905.0	1571.0	1362.0	4026.0	1117.0	5056.0	3714.0	694.0	5602.0	6634.0	4899.0	3716.0	3597.0	290.0	491.0	322.0	2352.0	84259.1	1042847.0	1306228.032015
sub-0104	666.0	674.0	2063.0	1296.0	403.0	2751.0	4481.0	2477.0	756.0	4633.0	2651.0	2806.0	1865.0	2784.0	562.0	1383.0	1229.0	855.0	1398.0	1173.0	3475.0	1248.0	4736.0	3544.0	467.0	4995.0	6486.0	5208.0	3368.0	3005.0	291.0	372.0	368.0	2100.0	76567.6	1030459.0	1117095.897251
sub-0105	973.0	792.0	1621.0	2013.0	447.0	2829.0	5252.0	3277.0	1029.0	5343.0	2817.0	4024.0	2001.0	3751.0	577.0	1468.0	1498.0	961.0	2035.0	2001.0	3610.0	1283.0	4030.0	4229.0	752.0	6777.0	7092.0	5411.0	4021.0	3238.0	340.0	361.0	362.0	2253.0	88465.3	1145351.0	1374946.138192
sub-0106	897.0	667.0	2215.0	1736.0	310.0	2978.0	6093.0	2861.0	829.0	4949.0	2865.0	2859.0	2271.0	3127.0	549.0	1527.0	1318.0	599.0	1363.0	1653.0	3970.0	1307.0	4261.0	3931.0	653.0	5665.0	7852.0	5619.0	3286.0	3500.0	306.0	404.0	297.0	2179.0	84881.8	1097629.0	1232802.279774
sub-0107	1093.0	743.0	2547.0	1524.0	422.0	3307.0	5938.0	4000.0	788.0	4842.0	2987.0	2942.0	2247.0	4264.0	655.0	1654.0	1349.0	996.0	1781.0	1170.0	4249.0	1362.0	5180.0	4028.0	812.0	7189.0	8356.0	5539.0	4459.0	4771.0	298.0	496.0	382.0	2817.0	95177.0	1233475.0	1531951.741104
sub-0108	1239.0	921.0	2824.0	1469.0	516.0	3713.0	6890.0	4198.0	1025.0	5217.0	3134.0	3074.0	2447.0	4315.0	884.0	1778.0	1652.0	1030.0	2131.0	1217.0	4389.0	1275.0	5672.0	4979.0	743.0	7989.0	9051.0	5770.0	4425.0	4265.0	382.0	462.0	403.0	3116.0	102590.0	1362511.0	1837369.163244
sub-0109	926.0	875.0	2633.0	2482.0	550.0	3658.0	5153.0	4033.0	1020.0	7129.0	3512.0	3942.0	2425.0	4011.0	695.0	1516.0	1537.0	1009.0	2185.0	1985.0	4574.0	1533.0	5683.0	4752.0	843.0	7553.0	8553.0	6626.0	3936.0	4411.0	372.0	582.0	346.0	2533.0	103571.0	1364880.0	1792922.374976
sub-0110	1180.0	869.0	2655.0	1607.0	343.0	3230.0	6309.0	3729.0	892.0	5047.0	3449.0	3470.0	2560.0	4247.0	695.0	1458.0	1806.0	1027.0	1922.0	1578.0	4772.0	1387.0	5170.0	3837.0	725.0	7563.0	8709.0	4948.0	4078.0	4826.0	369.0	477.0	323.0	3140.0	98380.6	1355261.0	1680204.683201
sub-0111	916.0	737.0	1733.0	1349.0	387.0	2871.0	5210.0	2924.0	715.0	4381.0	2829.0	3153.0	1804.0	3098.0	598.0	1726.0	1426.0	816.0	1501.0	1385.0	3372.0	1181.0	3927.0	3903.0	631.0	5186.0	6151.0	5108.0	3319.0	3409.0	259.0	473.0	272.0	2160.0	78909.4	1018030.0	1380530.526494
sub-0112	922.0	775.0	1874.0	1488.0	432.0	3138.0	5295.0	2946.0	820.0	4427.0	2686.0	2872.0	1872.0	3340.0	573.0	1658.0	1569.0	742.0	1481.0	1349.0	3556.0	1150.0	4428.0	3705.0	648.0	6106.0	6715.0	5637.0	3602.0	3335.0	382.0	479.0	305.0	1971.0	82271.1	1065066.0	1267466.560021
sub-0113	961.0	781.0	2009.0	1626.0	337.0	2566.0	4715.0	2961.0	884.0	4194.0	2492.0	3136.0	1902.0	3490.0	584.0	1423.0	1452.0	752.0	1508.0	1317.0	4057.0	1391.0	3988.0	4104.0	859.0	5071.0	5787.0	4922.0	3583.0	3972.0	314.0	417.0	348.0	2022.0	79920.5	1045706.0	1293806.7876
sub-0114	861.0	656.0	2443.0	1537.0	317.0	2824.0	5603.0	3142.0	893.0	4642.0	2927.0	2955.0	1976.0	3599.0	700.0	1517.0	1308.0	800.0	1338.0	1242.0	4149.0	1125.0	4915.0	4085.0	709.0	5818.0	6646.0	5730.0	3350.0	3327.0	340.0	443.0	368.0	2244.0	84509.9	1090531.0	1197587.80593
sub-0115	831.0	627.0	1687.0	1936.0	292.0	2715.0	5189.0	3074.0	881.0	4502.0	2722.0	3228.0	2056.0	3670.0	620.0	1520.0	1296.0	766.0	1364.0	1511.0	3863.0	1362.0	4260.0	4097.0	722.0	6376.0	6643.0	5161.0	3470.0	3765.0	314.0	442.0	302.0	2050.0	83305.9	1032477.0	1392108.138436
sub-0116	844.0	657.0	1682.0	1667.0	310.0	3102.0	4271.0	2553.0	889.0	5593.0	2638.0	3195.0	2004.0	3079.0	580.0	1419.0	1469.0	797.0	1827.0	1718.0	3987.0	1053.0	4112.0	4093.0	635.0	6234.0	6250.0	5269.0	3726.0	3759.0	310.0	422.0	337.0	2214.0	82694.6	1063668.0	1294870.702796
sub-0117	797.0	722.0	1712.0	2190.0	480.0	3475.0	4490.0	3344.0	952.0	6021.0	2837.0	4357.0	1942.0	3180.0	701.0	1397.0	1274.0	904.0	1761.0	2281.0	3839.0	1057.0	4661.0	4190.0	668.0	6540.0	7061.0	5455.0	4075.0	3558.0	371.0	408.0	371.0	2893.0	89952.6	1126977.0	1349473.739635
sub-0118	1083.0	967.0	2725.0	1489.0	468.0	3490.0	6258.0	3739.0	982.0	4861.0	3329.0	2618.0	2368.0	4307.0	738.0	1755.0	1420.0	824.0	1541.0	1121.0	4606.0	1419.0	5362.0	5118.0	876.0	7679.0	8173.0	6704.0	4046.0	4336.0	334.0	476.0	341.0	2612.0	98153.0	1282660.0	1728881.825442
sub-0119	755.0	836.0	2088.0	1720.0	490.0	2678.0	3863.0	2569.0	878.0	5430.0	2890.0	3236.0	2089.0	3084.0	535.0	1765.0	1619.0	857.0	2109.0	1516.0	4128.0	1336.0	5457.0	5055.0	605.0	5786.0	7285.0	5093.0	3889.0	3973.0	292.0	430.0	399.0	2713.0	87370.1	1121020.0	1229718.867021
sub-0120	937.0	555.0	1749.0	1443.0	358.0	3199.0	5441.0	3144.0	915.0	5247.0	2709.0	2825.0	1999.0	3645.0	675.0	1573.0	1319.0	933.0	1653.0	1260.0	3974.0	1196.0	4404.0	3621.0	480.0	6146.0	7390.0	5641.0	3981.0	4455.0	305.0	491.0	348.0	2666.0	86609.2	1124240.0	1546825.809346
sub-0121	819.0	892.0	1911.0	2112.0	257.0	3076.0	5415.0	2931.0	1001.0	5419.0	2583.0	3833.0	1870.0	3097.0	649.0	1612.0	1279.0	875.0	1423.0	1795.0	4242.0	1230.0	4717.0	3876.0	819.0	6159.0	7407.0	5476.0	3615.0	3525.0	342.0	377.0	365.0	2163.0	87155.3	1116627.0	1430410.226792
sub-0122	984.0	732.0	1920.0	1725.0	529.0	3323.0	4883.0	3605.0	1000.0	5865.0	2961.0	2607.0	2240.0	3465.0	576.0	1507.0	1395.0	879.0	1547.0	1684.0	4082.0	1090.0	4781.0	3887.0	675.0	5805.0	6541.0	4799.0	3521.0	3629.0	330.0	441.0	300.0	2353.0	85279.4	1188271.0	1308183.182692
sub-0123	1244.0	888.0	2303.0	1641.0	333.0	3546.0	6973.0	3664.0	1005.0	6188.0	3256.0	2695.0	2299.0	4080.0	812.0	2025.0	1974.0	1004.0	2100.0	1493.0	4529.0	1202.0	5230.0	4174.0	764.0	6648.0	8046.0	6819.0	4495.0	4416.0	391.0	411.0	346.0	2540.0	99527.7	1309732.0	1702131.883701
sub-0124	834.0	496.0	1754.0	1184.0	435.0	2479.0	4595.0	2296.0	881.0	4464.0	2149.0	2271.0	1817.0	2858.0	582.0	1130.0	1199.0	717.0	1350.0	1092.0	3228.0	952.0	3694.0	3433.0	411.0	4564.0	5372.0	4341.0	3053.0	2934.0	253.0	413.0	288.0	1914.0	69433.9	935840.0	1052334.054241
sub-0125	1030.0	574.0	2166.0	1701.0	439.0	3327.0	6358.0	3622.0	1026.0	5532.0	3080.0	3740.0	2138.0	3914.0	804.0	1815.0	1470.0	1003.0	1883.0	1668.0	4335.0	1381.0	4892.0	4023.0	757.0	6397.0	7725.0	5377.0	4317.0	4735.0	360.0	504.0	462.0	2454.0	94995.3	1235556.0	1368269.34666
sub-0126	929.0	744.0	2184.0	1471.0	328.0	2722.0	5676.0	3301.0	931.0	4618.0	3351.0	2835.0	2327.0	3659.0	634.0	1763.0	1382.0	983.0	1693.0	1287.0	4016.0	1360.0	5150.0	3604.0	895.0	6003.0	7626.0	5006.0	3767.0	3289.0	322.0	497.0	384.0	2601.0	87100.3	1168528.0	1354407.834998
sub-0127	1047.0	847.0	2491.0	1587.0	558.0	3106.0	6220.0	3346.0	869.0	4616.0	3352.0	3154.0	2028.0	3717.0	565.0	1416.0	1547.0	1041.0	1534.0	1317.0	3953.0	1137.0	4792.0	4265.0	689.0	6540.0	7613.0	5623.0	3414.0	3546.0	361.0	545.0	352.0	2269.0	89450.9	1189014.0	1388551.522021
sub-0128	932.0	638.0	1929.0	2220.0	487.0	3278.0	6436.0	3282.0	1204.0	7447.0	2668.0	3922.0	2149.0	3515.0	704.0	1555.0	1221.0	927.0	1701.0	1849.0	3452.0	1177.0	5356.0	4207.0	546.0	5703.0	7879.0	5082.0	3524.0	2930.0	319.0	483.0	301.0	2574.0	91596.3	1241378.0	1614246.708114
sub-0129	1023.0	485.0	1994.0	1545.0	421.0	2658.0	5329.0	3262.0	901.0	4404.0	2673.0	2811.0	2005.0	3489.0	600.0	1447.0	1544.0	894.0	1556.0	1337.0	4142.0	1184.0	4584.0	4273.0	523.0	5933.0	6856.0	5139.0	3694.0	3773.0	302.0	483.0	290.0	2491.0	84030.9	1100023.0	1286549.332646
sub-0130	1085.0	461.0	1591.0	1752.0	455.0	3214.0	5045.0	3075.0	1086.0	6286.0	2266.0	3270.0	1793.0	3240.0	626.0	1233.0	1423.0	817.0	2443.0	1998.0	3467.0	994.0	4069.0	4345.0	592.0	6043.0	6895.0	4375.0	3405.0	3410.0	346.0	394.0	353.0	2145.0	83991.4	1100980.0	1271007.993467
sub-0131	1017.0	995.0	3072.0	1717.0	525.0	3247.0	5306.0	3635.0	967.0	5373.0	3787.0	3605.0	2540.0	3682.0	552.0	1493.0	1812.0	1144.0	1798.0	1758.0	4329.0	1598.0	5408.0	4322.0	749.0	7176.0	8202.0	5328.0	3841.0	3942.0	348.0	520.0	385.0	2346.0	96517.0	1304447.0	1764190.675041
sub-0132	849.0	720.0	1418.0	1413.0	478.0	2730.0	5299.0	3551.0	771.0	4329.0	2481.0	2538.0	1789.0	3640.0	655.0	1351.0	1219.0	797.0	1364.0	1240.0	3483.0	997.0	4039.0	3285.0	569.0	5398.0	5913.0	4987.0	3355.0	3288.0	290.0	365.0	284.0	2260.0	77141.4	1022236.0	1162101.650501
sub-0133	942.0	682.0	2410.0	1697.0	391.0	3518.0	4624.0	3548.0	964.0	5078.0	2722.0	3078.0	2162.0	3849.0	632.0	1709.0	1482.0	868.0	1338.0	1496.0	4656.0	1408.0	5229.0	5152.0	737.0	5754.0	8698.0	6140.0	3569.0	3816.0	369.0	506.0	321.0	2736.0	92260.1	1267941.0	1387763.249643
sub-0134	962.0	952.0	2292.0	1632.0	347.0	3106.0	5318.0	3155.0	729.0	5584.0	2752.0	3384.0	1943.0	3302.0	619.0	1477.0	1539.0	835.0	1502.0	1568.0	4245.0	1251.0	4339.0	3501.0	904.0	6092.0	7407.0	5397.0	3931.0	4179.0	308.0	433.0	335.0	2292.0	87605.3	1148514.0	1328781.652489
sub-0135	975.0	482.0	2200.0	1488.0	386.0	2910.0	5721.0	3416.0	844.0	4600.0	2708.0	3152.0	1896.0	3887.0	593.0	1286.0	1543.0	746.0	1543.0	1499.0	3794.0	1161.0	4811.0	3564.0	549.0	5283.0	6670.0	5321.0	3964.0	3390.0	286.0	419.0	326.0	2381.0	83781.3	1087460.0	1211561.579842
sub-0136	985.0	659.0	2032.0	1437.0	409.0	2855.0	5613.0	3398.0	862.0	4528.0	2566.0	3363.0	1922.0	3407.0	681.0	1250.0	1271.0	758.0	1347.0	1270.0	3769.0	1158.0	4452.0	3619.0	670.0	5198.0	6669.0	4536.0	3333.0	3586.0	249.0	419.0	351.0	2463.0	81072.3	1016367.0	1270118.732709
sub-0137	1038.0	771.0	2467.0	1624.0	427.0	3545.0	6920.0	4141.0	912.0	5658.0	3233.0	3397.0	2199.0	4326.0	741.0	1706.0	1254.0	1021.0	1439.0	1510.0	3899.0	1459.0	5466.0	4834.0	676.0	6688.0	8355.0	5637.0	3603.0	3683.0	368.0	485.0	335.0	2871.0	96679.0	1214336.0	1528498.946679
sub-0138	903.0	701.0	2284.0	1852.0	394.0	3661.0	5062.0	3602.0	952.0	5330.0	2819.0	2901.0	1934.0	3678.0	586.0	1424.0	1635.0	914.0	1690.0	1520.0	4340.0	1169.0	5166.0	4370.0	659.0	6378.0	7236.0	5534.0	3991.0	3821.0	339.0	498.0	340.0	2472.0	90152.7	1156408.0	1332201.738154
sub-0139	914.0	792.0	1710.0	1780.0	344.0	2758.0	4814.0	2641.0	1066.0	4584.0	2698.0	3527.0	1911.0	3095.0	593.0	1287.0	1459.0	838.0	1749.0	2264.0	3446.0	1014.0	4858.0	4373.0	488.0	5088.0	6208.0	4936.0	3233.0	2902.0	295.0	402.0	292.0	2356.0	80711.8	1079355.0	1273293.645814
sub-0140	1080.0	723.0	2500.0	1701.0	399.0	3106.0	6112.0	3100.0	871.0	5097.0	2743.0	3176.0	1993.0	3876.0	653.0	1748.0	1287.0	848.0	1379.0	1539.0	3933.0	1238.0	4840.0	4193.0	617.0	6183.0	7362.0	5912.0	3835.0	3717.0	350.0	441.0	315.0	2109.0	88973.2	1146479.0	1309036.588567
sub-0141	879.0	858.0	2054.0	1600.0	463.0	3024.0	5245.0	3974.0	904.0	5927.0	3389.0	3219.0	2253.0	3953.0	626.0	1485.0	1596.0	1029.0	1666.0	1524.0	4130.0	1243.0	4992.0	3863.0	699.0	6934.0	7250.0	5638.0	3736.0	3709.0	326.0	471.0	371.0	2313.0	91323.3	1269841.0	1568906.612169
sub-0142	787.0	580.0	2239.0	1677.0	447.0	3263.0	4974.0	3352.0	965.0	5621.0	2919.0	3113.0	2112.0	3859.0	585.0	1374.0	1446.0	820.0	1315.0	1753.0	4921.0	1040.0	5189.0	4426.0	562.0	6451.0	7494.0	4931.0	3368.0	3542.0	353.0	430.0	295.0	2226.0	88370.1	1107974.0	1419047.042238
sub-0143	1040.0	706.0	2101.0	1610.0	409.0	2951.0	6138.0	3192.0	984.0	5914.0	2851.0	3376.0	1963.0	3517.0	615.0	1459.0	1344.0	973.0	1803.0	1471.0	3864.0	1172.0	4437.0	3972.0	562.0	6815.0	6829.0	4704.0	3548.0	3422.0	343.0	432.0	319.0	2229.0	87062.9	1159677.0	1261795.146594
