lh.aparc.area	lh_bankssts_area	lh_caudalanteriorcingulate_area	lh_caudalmiddlefrontal_area	lh_cuneus_area	lh_entorhinal_area	lh_fusiform_area	lh_inferiorparietal_area	lh_inferiortemporal_area	lh_isthmuscingulate_area	lh_lateraloccipital_area	lh_lateralorbitofrontal_area	lh_lingual_area	lh_medialorbitofrontal_area	lh_middletemporal_area	lh_parahippocampal_area	lh_paracentral_area	lh_parsopercularis_area	lh_parsorbitalis_area	lh_parstriangularis_area	lh_pericalcarine_area	lh_postcentral_area	lh_posteriorcingulate_area	lh_precentral_area	lh_precuneus_area	lh_rostralanteriorcingulate_area	lh_rostralmiddlefrontal_area	lh_superiorfrontal_area	lh_superiorparietal_area	lh_superiortemporal_area	lh_supramarginal_area	lh_frontalpole_area	lh_temporalpole_area	lh_transversetemporal_area	lh_insula_area	lh_WhiteSurfArea_area	BrainSegVolNotVent	eTIV
sub-0071	1203.0	564.0	1856.0	1607.0	426.0	4138.0	5603.0	3798.0	1097.0	5737.0	2675.0	3034.0	2015.0	3734.0	582.0	1262.0	1655.0	767.0	1642.0	1402.0	4273.0	1160.0	4571.0	3828.0	831.0	6260.0	7084.0	5912.0	4290.0	4175.0	283.0	438.0	496.0	2627.0	91016.3	1249893.0	1634089.751352
sub-0072	1051.0	680.0	2573.0	1586.0	561.0	2969.0	4065.0	3865.0	842.0	4160.0	2758.0	2548.0	2106.0	3542.0	689.0	1269.0	1461.0	791.0	1156.0	1298.0	3911.0	1085.0	4314.0	4058.0	903.0	5667.0	7431.0	6051.0	4028.0	4543.0	261.0	465.0	482.0	2316.0	85480.5	1157016.0	1303487.747039
sub-0073	1000.0	631.0	2343.0	1314.0	510.0	2825.0	3131.0	3198.0	743.0	4920.0	2520.0	2611.0	1881.0	2809.0	666.0	1378.0	1765.0	594.0	1423.0	1127.0	3891.0	841.0	4944.0	3427.0	776.0	5943.0	6699.0	5357.0	3617.0	3967.0	254.0	437.0	454.0	2153.0	80002.1	1058891.0	1187048.694322
sub-0074	1505.0	1048.0	3494.0	1698.0	505.0	3954.0	6583.0	4580.0	1498.0	6164.0	3753.0	3917.0	2808.0	4752.0	779.0	1783.0	1635.0	1071.0	1821.0	1664.0	5522.0	1812.0	6040.0	5161.0	1280.0	9265.0	9900.0	6560.0	5760.0	6179.0	344.0	550.0	605.0	2875.0	116805.0	1500430.0	1961809.725767
sub-0075	1129.0	766.0	2022.0	1599.0	475.0	3619.0	5426.0	4020.0	1305.0	6058.0	2922.0	3129.0	2227.0	3768.0	714.0	1367.0	1600.0	679.0	1404.0	1410.0	4108.0	1278.0	4632.0	4562.0	1033.0	6149.0	8901.0	6205.0	4366.0	4598.0	268.0	478.0	578.0	2601.0	95396.6	1318890.0	1699569.476078
sub-0076	1560.0	1038.0	2940.0	2057.0	625.0	3826.0	5944.0	4901.0	1259.0	6700.0	3510.0	3741.0	2291.0	4504.0	711.0	1440.0	2019.0	769.0	1588.0	1739.0	4226.0	1846.0	5048.0	5503.0	1289.0	6687.0	7926.0	6534.0	4848.0	5290.0	322.0	588.0	547.0	3376.0	107186.0	1389071.0	1624560.177194
sub-0077	1012.0	434.0	1883.0	1375.0	430.0	2632.0	4362.0	2676.0	1117.0	5313.0	2532.0	3123.0	1778.0	3128.0	613.0	1166.0	1381.0	550.0	1351.0	1547.0	3640.0	1032.0	3843.0	3818.0	774.0	5083.0	7513.0	4442.0	3893.0	3676.0	243.0	430.0	397.0	2179.0	79359.7	1031018.0	1438180.560507
sub-0078	1004.0	477.0	2191.0	1643.0	535.0	2966.0	4582.0	4324.0	1064.0	4626.0	2768.0	2867.0	1745.0	3597.0	610.0	1275.0	2076.0	879.0	1681.0	1582.0	3921.0	1204.0	4943.0	4002.0	710.0	6356.0	8646.0	6681.0	4000.0	4767.0	278.0	525.0	417.0	2412.0	91351.8	1163738.0	1405179.745512
sub-0079	1322.0	916.0	2474.0	2180.0	390.0	3249.0	4849.0	3050.0	1032.0	6437.0	3195.0	4361.0	2226.0	3336.0	629.0	1423.0	1718.0	875.0	1562.0	2079.0	4934.0	1215.0	4980.0	4235.0	1070.0	7283.0	9063.0	5550.0	5113.0	4455.0	283.0	535.0	658.0	2895.0	99375.6	1237550.0	1670680.937755
sub-0080	1159.0	898.0	2175.0	1511.0	616.0	3471.0	4850.0	4001.0	967.0	5125.0	2638.0	2710.0	1758.0	3471.0	724.0	1340.0	1620.0	691.0	1255.0	1093.0	4134.0	1490.0	4767.0	3755.0	1051.0	5765.0	6914.0	4912.0	3949.0	4446.0	237.0	503.0	484.0	2469.0	86943.5	1152858.0	1245058.25468
sub-0081	1792.0	593.0	2965.0	1569.0	626.0	3959.0	6004.0	3929.0	1349.0	6406.0	3330.0	3467.0	2436.0	4866.0	832.0	1256.0	1806.0	744.0	1723.0	1713.0	4711.0	1294.0	5218.0	4814.0	1242.0	7489.0	10061.0	6826.0	5670.0	5386.0	329.0	486.0	643.0	2788.0	108311.0	1429029.0	1813905.93453
sub-0082	967.0	588.0	2265.0	1445.0	539.0	2911.0	3588.0	3461.0	1080.0	5102.0	3050.0	2871.0	2055.0	3222.0	788.0	1548.0	1716.0	851.0	1533.0	1483.0	3872.0	1137.0	4254.0	3781.0	818.0	6819.0	8411.0	5869.0	3975.0	4397.0	301.0	439.0	364.0	2316.0	87816.4	1204055.0	1664552.018743
sub-0083	1280.0	875.0	2324.0	1629.0	475.0	3501.0	5595.0	3995.0	929.0	5636.0	3357.0	3631.0	2019.0	3763.0	792.0	1657.0	1923.0	808.0	1857.0	1368.0	4328.0	1473.0	4876.0	3765.0	973.0	6356.0	8264.0	6620.0	4180.0	4715.0	254.0	508.0	454.0	2577.0	96640.2	1263837.0	1642311.48061
sub-0084	965.0	794.0	2566.0	1756.0	371.0	3174.0	4823.0	3250.0	1164.0	6015.0	2942.0	3634.0	2339.0	3262.0	641.0	1323.0	1974.0	779.0	1693.0	1775.0	4420.0	1409.0	4818.0	4432.0	1033.0	6917.0	7349.0	5710.0	4500.0	3982.0	279.0	434.0	472.0	2358.0	93350.5	1251650.0	1375169.673746
sub-0085	723.0	620.0	1747.0	1453.0	401.0	2628.0	3585.0	3032.0	895.0	4398.0	2551.0	3039.0	1717.0	2681.0	693.0	1015.0	1605.0	616.0	1481.0	1463.0	2911.0	1010.0	3665.0	3054.0	790.0	5448.0	5680.0	4207.0	3473.0	3296.0	229.0	380.0	330.0	1976.0	72785.6	962921.0	1025878.102196
sub-0086	1052.0	724.0	2366.0	1644.0	662.0	3754.0	5591.0	3531.0	1013.0	6362.0	2937.0	2958.0	2068.0	3662.0	737.0	1477.0	2077.0	812.0	1787.0	1196.0	4108.0	1238.0	4914.0	3815.0	1069.0	6854.0	9008.0	5409.0	4384.0	4774.0	241.0	499.0	494.0	2969.0	96141.4	1277219.0	1557559.838422
sub-0087	870.0	590.0	2212.0	1484.0	562.0	3858.0	4578.0	3133.0	1027.0	4961.0	2687.0	2645.0	2120.0	3054.0	680.0	1301.0	1992.0	761.0	1329.0	1490.0	3826.0	1132.0	4109.0	4392.0	849.0	5991.0	6974.0	4901.0	4130.0	4196.0	283.0	486.0	595.0	2516.0	85465.3	1135006.0	1199212.396541
sub-0088	1299.0	589.0	3024.0	1959.0	617.0	3492.0	5584.0	4660.0	1345.0	5429.0	3443.0	3433.0	2505.0	4619.0	696.0	1451.0	2088.0	938.0	1569.0	1666.0	4828.0	1332.0	5199.0	5188.0	1282.0	7841.0	9325.0	6976.0	5253.0	5066.0	320.0	541.0	524.0	2930.0	106993.0	1367947.0	1749974.361296
sub-0089	963.0	974.0	2162.0	1698.0	486.0	3290.0	4300.0	3845.0	1046.0	5006.0	2843.0	3451.0	2037.0	3494.0	663.0	1356.0	1463.0	782.0	1455.0	1777.0	4028.0	1285.0	4866.0	3658.0	1017.0	6713.0	7484.0	5505.0	3756.0	4175.0	269.0	477.0	406.0	2281.0	89006.0	1109753.0	1266847.45001
sub-0090	1295.0	562.0	2644.0	1375.0	477.0	3162.0	4801.0	3987.0	1081.0	4420.0	2927.0	2737.0	2008.0	3377.0	660.0	1276.0	1764.0	664.0	1365.0	1135.0	4224.0	1160.0	4898.0	3752.0	684.0	5295.0	7266.0	5555.0	3904.0	4420.0	288.0	475.0	432.0	2397.0	86438.5	1083879.0	1379263.516306
sub-0091	1267.0	499.0	2189.0	1934.0	275.0	3621.0	4922.0	4268.0	1371.0	5495.0	2761.0	3127.0	2140.0	3561.0	622.0	1419.0	1806.0	711.0	1829.0	1741.0	4663.0	1276.0	5866.0	4131.0	843.0	6667.0	9530.0	5757.0	4394.0	4403.0	266.0	536.0	410.0	3045.0	97172.9	1197099.0	1582574.563044
sub-0092	952.0	639.0	2183.0	1756.0	289.0	3283.0	5861.0	3696.0	920.0	5958.0	3078.0	3113.0	2219.0	3712.0	634.0	1475.0	1904.0	864.0	1367.0	1500.0	4128.0	1161.0	4906.0	4517.0	1092.0	6979.0	8450.0	5228.0	4762.0	4332.0	269.0	418.0	552.0	2646.0	94823.2	1297126.0	1766651.713107
sub-0093	1090.0	535.0	2439.0	1558.0	379.0	2824.0	5600.0	3500.0	1002.0	5271.0	2632.0	2998.0	1861.0	3590.0	574.0	1158.0	1889.0	607.0	1328.0	1466.0	3938.0	1162.0	4516.0	4094.0	794.0	5581.0	6976.0	5578.0	3809.0	2939.0	239.0	517.0	413.0	2411.0	84909.9	1087119.0	1460791.342004
sub-0094	1143.0	532.0	2302.0	1525.0	444.0	2942.0	4474.0	3257.0	1085.0	5372.0	2692.0	3227.0	1752.0	3118.0	613.0	1159.0	1480.0	661.0	1329.0	1450.0	3956.0	1156.0	4547.0	3977.0	864.0	5875.0	7266.0	5293.0	3700.0	4586.0	247.0	469.0	402.0	2185.0	85078.7	1090472.0	1225095.466245
sub-0095	1045.0	796.0	2449.0	1793.0	411.0	3536.0	4534.0	3443.0	1110.0	5589.0	2746.0	3409.0	1992.0	3313.0	674.0	1399.0	1788.0	671.0	1368.0	1509.0	3920.0	1259.0	4723.0	3868.0	879.0	5888.0	7609.0	5474.0	3817.0	4107.0	274.0	520.0	391.0	2492.0	88782.7	1176761.0	1393838.718019
sub-0096	1443.0	455.0	2228.0	1447.0	581.0	3065.0	4455.0	3048.0	996.0	4888.0	2725.0	2731.0	1901.0	3107.0	632.0	1172.0	1734.0	694.0	1378.0	1210.0	3930.0	1135.0	4684.0	3567.0	711.0	6075.0	6735.0	5134.0	3666.0	3581.0	269.0	458.0	401.0	2052.0	82276.7	1103258.0	1267541.963561
sub-0097	811.0	627.0	1918.0	1708.0	344.0	3044.0	4629.0	3185.0	898.0	5582.0	2538.0	2853.0	1689.0	3278.0	616.0	1277.0	1501.0	622.0	1516.0	1327.0	3830.0	1434.0	4632.0	3322.0	752.0	5909.0	7159.0	5679.0	3524.0	4086.0	285.0	464.0	451.0	2548.0	84034.7	1105184.0	1291641.31448
sub-0098	1043.0	801.0	3149.0	1664.0	749.0	4304.0	4928.0	4072.0	941.0	6610.0	3337.0	3690.0	2092.0	3644.0	769.0	1520.0	1988.0	891.0	1561.0	1349.0	4669.0	1526.0	5321.0	4193.0	1086.0	7471.0	8330.0	5215.0	4402.0	4113.0	280.0	661.0	520.0	3021.0	99894.8	1324428.0	1767706.388905
sub-0099	1269.0	926.0	2754.0	1926.0	433.0	3411.0	4997.0	3985.0	1380.0	6405.0	3155.0	4142.0	2539.0	3596.0	659.0	1314.0	2001.0	828.0	1841.0	2018.0	4404.0	1592.0	5300.0	4731.0	1173.0	6910.0	7416.0	7188.0	4462.0	4365.0	337.0	465.0	436.0	2473.0	100834.0	1340357.0	1787979.018134
sub-0100	1143.0	640.0	2885.0	1525.0	503.0	3423.0	5063.0	4283.0	1254.0	5264.0	3416.0	3129.0	2420.0	3664.0	631.0	1460.0	1835.0	879.0	1468.0	1304.0	4394.0	1712.0	5477.0	4661.0	870.0	6340.0	9475.0	6630.0	4248.0	5451.0	277.0	517.0	478.0	2577.0	99294.6	1326269.0	1662847.267452
sub-0101	1116.0	694.0	2078.0	1547.0	468.0	3134.0	4288.0	3561.0	932.0	5352.0	2960.0	3076.0	2225.0	3400.0	626.0	1361.0	1415.0	690.0	1160.0	1418.0	4173.0	1345.0	4220.0	4042.0	959.0	5342.0	6273.0	4825.0	3850.0	4478.0	236.0	492.0	393.0	2441.0	84558.5	1170530.0	1448074.530533
sub-0102	1607.0	730.0	2401.0	1552.0	424.0	3447.0	6498.0	4935.0	967.0	5496.0	3543.0	3281.0	2847.0	4923.0	786.0	1676.0	1649.0	847.0	1559.0	1285.0	5216.0	1459.0	4957.0	5376.0	1256.0	6216.0	9217.0	7483.0	4982.0	6445.0	313.0	501.0	425.0	2747.0	107032.0	1366345.0	1743921.110547
sub-0103	882.0	480.0	2419.0	1538.0	454.0	3124.0	4256.0	3496.0	1049.0	4810.0	2883.0	3030.0	2081.0	3151.0	621.0	1338.0	1776.0	661.0	1460.0	1424.0	3966.0	1261.0	4789.0	3454.0	694.0	5689.0	7286.0	5113.0	4051.0	4414.0	219.0	482.0	446.0	2465.0	85237.1	1042847.0	1306228.032015
sub-0104	1001.0	504.0	2009.0	1159.0	324.0	2779.0	4244.0	2948.0	842.0	4207.0	2669.0	2473.0	1621.0	2843.0	581.0	1317.0	1453.0	688.0	1271.0	1020.0	3377.0	1212.0	4514.0	3699.0	614.0	5195.0	6286.0	5533.0	3508.0	3648.0	261.0	408.0	402.0	2580.0	77059.8	1030459.0	1117095.897251
sub-0105	977.0	613.0	2265.0	1819.0	378.0	3058.0	5241.0	3417.0	1233.0	5592.0	2733.0	3379.0	1837.0	3311.0	578.0	1371.0	1748.0	669.0	1490.0	1987.0	4050.0	1375.0	4508.0	3878.0	886.0	6016.0	7732.0	5652.0	4140.0	3728.0	289.0	431.0	553.0	2456.0	89379.0	1145351.0	1374946.138192
sub-0106	899.0	712.0	2070.0	1442.0	346.0	2834.0	5599.0	3274.0	1000.0	5279.0	2583.0	3230.0	2016.0	3432.0	524.0	1227.0	1594.0	620.0	1343.0	1326.0	3686.0	1309.0	4375.0	4035.0	861.0	6289.0	6943.0	5768.0	3493.0	3858.0	269.0	481.0	364.0	2130.0	85210.9	1097629.0	1232802.279774
sub-0107	1295.0	885.0	2336.0	1416.0	463.0	3649.0	6060.0	4314.0	881.0	5333.0	3127.0	2238.0	2539.0	4547.0	696.0	1289.0	1907.0	804.0	1603.0	1015.0	4408.0	1125.0	5390.0	4267.0	1138.0	6519.0	8029.0	5328.0	4678.0	4683.0	318.0	553.0	415.0	2505.0	95692.9	1233475.0	1531951.741104
sub-0108	1105.0	1098.0	3002.0	1539.0	528.0	3859.0	5434.0	4589.0	1027.0	5555.0	3233.0	3160.0	2127.0	3935.0	901.0	1912.0	2326.0	929.0	1709.0	1211.0	4602.0	1371.0	5738.0	4024.0	1252.0	6976.0	9323.0	6195.0	4274.0	4979.0	274.0	548.0	410.0	3396.0	102544.0	1362511.0	1837369.163244
sub-0109	780.0	776.0	2581.0	1985.0	517.0	3866.0	4670.0	3477.0	1487.0	5384.0	3338.0	3655.0	2481.0	3346.0	969.0	1426.0	2597.0	928.0	1650.0	1772.0	4961.0	1394.0	5576.0	4815.0	1044.0	7059.0	9096.0	6766.0	5247.0	6132.0	306.0	549.0	627.0	2774.0	104018.0	1364880.0	1792922.374976
sub-0110	1155.0	669.0	3125.0	1486.0	405.0	3265.0	5377.0	4172.0	1031.0	5775.0	3527.0	3160.0	2087.0	4414.0	647.0	1379.0	1854.0	821.0	1503.0	1485.0	4681.0	1200.0	5343.0	3690.0	1081.0	7150.0	9042.0	5436.0	4458.0	5192.0	272.0	488.0	430.0	2562.0	98341.5	1355261.0	1680204.683201
sub-0111	931.0	443.0	2170.0	1333.0	520.0	3097.0	4101.0	3037.0	897.0	4687.0	2664.0	2735.0	1722.0	2732.0	677.0	1502.0	1307.0	671.0	1296.0	1284.0	3711.0	887.0	4244.0	3755.0	692.0	4990.0	6759.0	5389.0	3644.0	4087.0	232.0	435.0	381.0	2537.0	79544.3	1018030.0	1380530.526494
sub-0112	1110.0	764.0	2068.0	1336.0	444.0	3030.0	4731.0	3217.0	828.0	4505.0	2722.0	2858.0	2158.0	3300.0	569.0	1546.0	1811.0	724.0	1310.0	1223.0	3654.0	1213.0	4284.0	3617.0	750.0	5022.0	7041.0	6004.0	3794.0	3409.0	269.0	463.0	371.0	2100.0	82240.1	1065066.0	1267466.560021
sub-0113	1112.0	544.0	2154.0	1502.0	532.0	2634.0	4359.0	3265.0	982.0	4291.0	2405.0	3186.0	1858.0	2937.0	526.0	1257.0	1450.0	587.0	1297.0	1175.0	3993.0	1169.0	4383.0	4448.0	733.0	5122.0	6260.0	5313.0	3626.0	4538.0	249.0	411.0	450.0	2359.0	81106.4	1045706.0	1293806.7876
sub-0114	857.0	590.0	2392.0	1251.0	330.0	3064.0	5215.0	3757.0	1069.0	5372.0	3080.0	2496.0	1772.0	3415.0	590.0	1298.0	1497.0	763.0	1187.0	933.0	4086.0	1267.0	4793.0	3867.0	969.0	5661.0	6770.0	5817.0	3593.0	3578.0	263.0	394.0	380.0	2395.0	84760.7	1090531.0	1197587.80593
sub-0115	1117.0	465.0	1904.0	1668.0	372.0	2843.0	4925.0	3167.0	1055.0	4891.0	2591.0	3069.0	1733.0	2961.0	598.0	1251.0	1906.0	605.0	1369.0	1459.0	3781.0	1106.0	4582.0	4189.0	873.0	5211.0	7053.0	5560.0	3549.0	3705.0	243.0	472.0	397.0	2258.0	82925.2	1032477.0	1392108.138436
sub-0116	1035.0	593.0	2118.0	1422.0	400.0	3015.0	3644.0	2637.0	1088.0	5897.0	2494.0	3113.0	1991.0	2631.0	621.0	1232.0	1701.0	655.0	1208.0	1417.0	3908.0	1221.0	4531.0	4093.0	828.0	4894.0	6829.0	4865.0	3998.0	3962.0	267.0	365.0	425.0	2262.0	81359.1	1063668.0	1294870.702796
sub-0117	853.0	568.0	2346.0	2027.0	538.0	3424.0	3860.0	3378.0	1048.0	6368.0	2993.0	3756.0	2017.0	3569.0	729.0	1232.0	1427.0	775.0	1419.0	2087.0	3762.0	1186.0	4573.0	3989.0	938.0	5667.0	7431.0	6525.0	4277.0	3911.0	281.0	449.0	459.0	2555.0	90403.9	1126977.0	1349473.739635
sub-0118	1128.0	787.0	2751.0	1493.0	630.0	3797.0	5812.0	4014.0	1167.0	5132.0	2984.0	2379.0	2325.0	3822.0	716.0	1491.0	1852.0	754.0	1592.0	1012.0	4681.0	1419.0	5253.0	4376.0	1330.0	6595.0	8256.0	6544.0	4091.0	4875.0	312.0	509.0	485.0	2832.0	97190.5	1282660.0	1728881.825442
sub-0119	822.0	697.0	2448.0	1389.0	520.0	2917.0	4162.0	3232.0	940.0	5005.0	2926.0	2931.0	1800.0	2886.0	698.0	1445.0	1970.0	894.0	1718.0	1368.0	4279.0	1389.0	5489.0	4257.0	903.0	5924.0	6902.0	6128.0	3642.0	4523.0	247.0	503.0	503.0	2432.0	87888.2	1121020.0	1229718.867021
sub-0120	1016.0	495.0	2317.0	1417.0	597.0	3420.0	4159.0	3394.0	1053.0	4650.0	2735.0	3257.0	2214.0	3159.0	709.0	1347.0	1526.0	753.0	1255.0	1263.0	3875.0	961.0	4396.0	3707.0	679.0	5747.0	7342.0	5821.0	4001.0	5734.0	290.0	510.0	399.0	2560.0	86605.8	1124240.0	1546825.809346
sub-0121	1078.0	556.0	2276.0	1851.0	367.0	3158.0	4099.0	3334.0	879.0	5935.0	2502.0	3129.0	1831.0	3277.0	668.0	1440.0	1656.0	764.0	1241.0	1609.0	4517.0	1180.0	5085.0	4024.0	878.0	6181.0	7300.0	5792.0	3558.0	4465.0	261.0	387.0	368.0	2494.0	88109.1	1116627.0	1430410.226792
sub-0122	945.0	562.0	1961.0	1517.0	622.0	3537.0	5045.0	3490.0	1006.0	5452.0	2915.0	2623.0	1942.0	3158.0	606.0	1423.0	1571.0	754.0	1251.0	1454.0	3938.0	1111.0	4904.0	3943.0	808.0	5139.0	7718.0	4782.0	3828.0	4142.0	266.0	472.0	470.0	2374.0	85726.1	1188271.0	1308183.182692
sub-0123	1096.0	546.0	2350.0	1629.0	446.0	3179.0	5193.0	4318.0	1361.0	6210.0	3081.0	2692.0	2002.0	3967.0	791.0	1264.0	2356.0	829.0	1681.0	1309.0	4626.0	1151.0	4859.0	4444.0	1139.0	6790.0	8425.0	6869.0	4585.0	4964.0	360.0	523.0	524.0	2998.0	98544.6	1309732.0	1702131.883701
sub-0124	932.0	427.0	2013.0	1331.0	455.0	2860.0	3739.0	2565.0	784.0	4305.0	2327.0	2416.0	1503.0	2478.0	571.0	1158.0	1377.0	552.0	1062.0	1012.0	3314.0	876.0	3897.0	3473.0	635.0	4170.0	5618.0	4435.0	3193.0	2875.0	197.0	375.0	380.0	2187.0	69492.0	935840.0	1052334.054241
sub-0125	899.0	538.0	2155.0	1156.0	597.0	3469.0	4992.0	4574.0	974.0	6121.0	3288.0	3453.0	2244.0	3630.0	751.0	1537.0	1682.0	884.0	1303.0	1060.0	4319.0	1275.0	5070.0	4520.0	1119.0	6292.0	8264.0	5111.0	4533.0	4988.0	307.0	575.0	547.0	2565.0	94792.9	1235556.0	1368269.34666
sub-0126	1024.0	676.0	2389.0	1253.0	359.0	2718.0	4572.0	3789.0	909.0	5220.0	3157.0	2566.0	2043.0	3727.0	650.0	1346.0	1440.0	658.0	1327.0	1075.0	4303.0	1256.0	4919.0	3621.0	1028.0	5758.0	8391.0	4838.0	4279.0	3544.0	219.0	419.0	426.0	2404.0	86286.9	1168528.0	1354407.834998
sub-0127	1042.0	611.0	2725.0	1485.0	676.0	2898.0	4348.0	3771.0	900.0	4907.0	3212.0	2684.0	2372.0	3248.0	734.0	1406.0	1432.0	763.0	1159.0	1343.0	3909.0	1376.0	4474.0	3708.0	826.0	6082.0	8113.0	5484.0	3573.0	3450.0	251.0	558.0	401.0	2448.0	86310.3	1189014.0	1388551.522021
sub-0128	1026.0	572.0	2024.0	2193.0	518.0	3251.0	4990.0	3609.0	1163.0	7243.0	2501.0	3628.0	1865.0	3276.0	692.0	1103.0	1583.0	691.0	1475.0	1908.0	4218.0	1302.0	4917.0	3728.0	811.0	6312.0	7432.0	5434.0	4138.0	4126.0	287.0	501.0	481.0	2570.0	91565.6	1241378.0	1614246.708114
sub-0129	1113.0	698.0	2175.0	1219.0	389.0	2961.0	5047.0	3279.0	1159.0	4774.0	2614.0	2602.0	1826.0	3110.0	612.0	1378.0	1619.0	625.0	1189.0	1085.0	3814.0	1313.0	4845.0	4070.0	778.0	5092.0	7291.0	5416.0	3796.0	4444.0	248.0	524.0	434.0	2245.0	83780.4	1100023.0	1286549.332646
sub-0130	952.0	406.0	2050.0	1544.0	505.0	3337.0	4136.0	3132.0	1117.0	6057.0	2549.0	3467.0	1666.0	2656.0	695.0	1243.0	1692.0	764.0	1660.0	1686.0	3595.0	988.0	4393.0	4070.0	410.0	5413.0	7176.0	4866.0	4015.0	4144.0	253.0	444.0	461.0	2205.0	83703.3	1100980.0	1271007.993467
sub-0131	917.0	740.0	2313.0	1708.0	484.0	3348.0	4461.0	3719.0	1167.0	5343.0	3381.0	3567.0	2218.0	3368.0	658.0	1591.0	1833.0	1056.0	1837.0	1636.0	4859.0	1481.0	5702.0	4250.0	918.0	7855.0	8393.0	5023.0	4238.0	3963.0	269.0	563.0	450.0	2585.0	95881.1	1304447.0	1764190.675041
sub-0132	1064.0	434.0	2129.0	1197.0	419.0	2768.0	4659.0	3356.0	858.0	4531.0	2471.0	2337.0	1653.0	3552.0	648.0	1115.0	1451.0	547.0	1161.0	998.0	3308.0	1053.0	3948.0	3372.0	647.0	5722.0	6043.0	5036.0	4359.0	3962.0	279.0	439.0	434.0	1940.0	77883.2	1022236.0	1162101.650501
sub-0133	1020.0	939.0	2164.0	1306.0	497.0	3625.0	5125.0	3769.0	1004.0	4693.0	2932.0	2626.0	1948.0	3571.0	690.0	1571.0	1938.0	689.0	1532.0	1183.0	4249.0	1350.0	5044.0	4845.0	1042.0	6268.0	8369.0	7390.0	3715.0	4536.0	289.0	482.0	413.0	2633.0	93437.5	1267941.0	1387763.249643
sub-0134	1111.0	593.0	2666.0	1709.0	302.0	3035.0	5334.0	3249.0	872.0	5166.0	2837.0	3024.0	2198.0	3487.0	648.0	1518.0	1726.0	574.0	1245.0	1372.0	3782.0	942.0	4376.0	3776.0	904.0	6140.0	7387.0	5585.0	4123.0	3829.0	254.0	398.0	406.0	2292.0	86847.4	1148514.0	1328781.652489
sub-0135	1514.0	632.0	2156.0	1505.0	414.0	2808.0	4883.0	2645.0	856.0	5146.0	2777.0	2845.0	2125.0	3352.0	655.0	1137.0	1703.0	652.0	1087.0	1376.0	3573.0	1045.0	4204.0	3692.0	669.0	5188.0	6858.0	5243.0	4407.0	4099.0	286.0	389.0	424.0	2024.0	82366.8	1087460.0	1211561.579842
sub-0136	1090.0	658.0	2147.0	1363.0	327.0	3399.0	4143.0	3034.0	1028.0	4284.0	2612.0	2523.0	1894.0	3189.0	552.0	1056.0	1471.0	672.0	1242.0	1185.0	3670.0	1076.0	4370.0	3354.0	657.0	4766.0	6758.0	4771.0	4008.0	4446.0	285.0	469.0	397.0	2162.0	79056.8	1016367.0	1270118.732709
sub-0137	1174.0	556.0	2606.0	1492.0	475.0	3721.0	6306.0	3943.0	1103.0	5689.0	3189.0	3164.0	2239.0	3634.0	717.0	1524.0	1519.0	885.0	1367.0	1396.0	4055.0	1204.0	4818.0	4534.0	759.0	6256.0	9527.0	5949.0	4256.0	4573.0	319.0	419.0	504.0	2642.0	96513.2	1214336.0	1528498.946679
sub-0138	1187.0	692.0	2506.0	1738.0	569.0	3081.0	4366.0	3996.0	952.0	5189.0	2857.0	3123.0	1908.0	3385.0	913.0	1279.0	1610.0	710.0	1342.0	1413.0	4697.0	1310.0	5504.0	4082.0	851.0	6001.0	7525.0	4969.0	4316.0	3953.0	260.0	543.0	473.0	2585.0	89877.4	1156408.0	1332201.738154
sub-0139	792.0	448.0	2004.0	1777.0	419.0	2826.0	4523.0	3000.0	1006.0	4424.0	2503.0	3482.0	1632.0	2977.0	621.0	1202.0	1780.0	658.0	1506.0	2049.0	3619.0	920.0	4187.0	3924.0	833.0	5563.0	7027.0	5227.0	3470.0	3306.0	286.0	459.0	366.0	2255.0	81057.0	1079355.0	1273293.645814
sub-0140	1087.0	653.0	2843.0	1742.0	388.0	3077.0	4767.0	3880.0	1129.0	5526.0	2634.0	3122.0	1934.0	3647.0	533.0	1353.0	1411.0	656.0	1333.0	1577.0	4333.0	1249.0	4805.0	4194.0	937.0	5957.0	7645.0	6328.0	3992.0	3978.0	230.0	471.0	376.0	2323.0	90108.4	1146479.0	1309036.588567
sub-0141	1197.0	528.0	2700.0	1554.0	547.0	3166.0	5238.0	4444.0	1158.0	5237.0	3141.0	3155.0	2072.0	3847.0	599.0	1152.0	1691.0	658.0	1381.0	1523.0	3999.0	1003.0	5258.0	3800.0	855.0	6116.0	7916.0	5707.0	4221.0	4011.0	260.0	488.0	477.0	2381.0	91464.6	1269841.0	1568906.612169
sub-0142	1051.0	639.0	2626.0	1562.0	495.0	2994.0	4601.0	3727.0	854.0	4997.0	2818.0	3084.0	2004.0	3523.0	657.0	1313.0	1906.0	677.0	1409.0	1570.0	4362.0	1035.0	4966.0	4146.0	1030.0	6221.0	7126.0	5881.0	3630.0	4093.0	275.0	478.0	416.0	2237.0	88392.4	1107974.0	1419047.042238
